频率(Hz),功率谱密度
0.000000000000000000e+00,2.358437919616699219e+01
1.584229535074410111e-01,1.118289489746093750e+02
3.168459070148820222e-01,1.318618469238281250e+02
4.752688605223230334e-01,1.309814300537109375e+02
6.336918140297640445e-01,1.440236358642578125e+02
7.921147675372051111e-01,1.354311981201171875e+02
9.505377210446460667e-01,1.363666687011718750e+02
1.108960674552087022e+00,1.369309082031250000e+02
1.267383628059528089e+00,1.217844543457031250e+02
1.425806581566969156e+00,1.221511535644531250e+02
1.584229535074410222e+00,1.297230834960937500e+02
1.742652488581851067e+00,1.321877136230468750e+02
1.901075442089292133e+00,1.276873092651367188e+02
2.059498395596733200e+00,1.164752044677734375e+02
2.217921349104174045e+00,1.294345397949218750e+02
2.376344302611615333e+00,1.422108459472656250e+02
2.534767256119056178e+00,1.301210937500000000e+02
2.693190209626497023e+00,1.330209655761718750e+02
2.851613163133938311e+00,1.329812622070312500e+02
3.010036116641379156e+00,1.366339111328125000e+02
3.168459070148820445e+00,1.347551116943359375e+02
3.326882023656261289e+00,1.279769592285156250e+02
3.485304977163702134e+00,1.232779464721679688e+02
3.643727930671143422e+00,1.269849166870117188e+02
3.802150884178584267e+00,1.343734283447265625e+02
3.960573837686025112e+00,1.317263793945312500e+02
4.118996791193466400e+00,1.313659210205078125e+02
4.277419744700907245e+00,1.589600677490234375e+02
4.435842698208348089e+00,1.731521301269531250e+02
4.594265651715788934e+00,1.505215606689453125e+02
4.752688605223230667e+00,1.386909179687500000e+02
4.911111558730671511e+00,1.246998596191406250e+02
5.069534512238112356e+00,1.162655487060546875e+02
5.227957465745553201e+00,1.184307327270507812e+02
5.386380419252994045e+00,1.227741546630859375e+02
5.544803372760435778e+00,1.304763946533203125e+02
5.703226326267876622e+00,1.425396423339843750e+02
5.861649279775317467e+00,1.347240600585937500e+02
6.020072233282758312e+00,1.293425750732421875e+02
6.178495186790199156e+00,1.261613235473632812e+02
6.336918140297640889e+00,1.333643951416015625e+02
6.495341093805081734e+00,1.357365722656250000e+02
6.653764047312522578e+00,1.389583587646484375e+02
6.812187000819963423e+00,1.394596099853515625e+02
6.970609954327404267e+00,1.385492553710937500e+02
7.129032907834845112e+00,1.277453384399414062e+02
7.287455861342286845e+00,1.259478530883789062e+02
7.445878814849727689e+00,1.262632980346679688e+02
7.604301768357168534e+00,1.233960418701171875e+02
7.762724721864609378e+00,1.305931549072265625e+02
7.921147675372050223e+00,1.292767333984375000e+02
8.079570628879491068e+00,1.164469909667968750e+02
8.237993582386932800e+00,1.148794937133789062e+02
8.396416535894372757e+00,1.151795501708984375e+02
8.554839489401814490e+00,1.136412353515625000e+02
8.713262442909256222e+00,1.215849151611328125e+02
8.871685396416696179e+00,1.256270065307617188e+02
9.030108349924137912e+00,1.269123611450195312e+02
9.188531303431577868e+00,1.248158874511718750e+02
9.346954256939019601e+00,1.189523925781250000e+02
9.505377210446461334e+00,1.214613265991210938e+02
9.663800163953901290e+00,1.227084884643554688e+02
9.822223117461343023e+00,1.090435256958007812e+02
9.980646070968782979e+00,1.196093444824218750e+02
1.013906902447622471e+01,1.186868057250976562e+02
1.029749197798366644e+01,1.120199127197265625e+02
1.045591493149110640e+01,1.177164306640625000e+02
1.061433788499854813e+01,1.147667388916015625e+02
1.077276083850598809e+01,1.181647644042968750e+02
1.093118379201342982e+01,1.303349914550781250e+02
1.108960674552087156e+01,1.174673690795898438e+02
1.124802969902831151e+01,1.116562728881835938e+02
1.140645265253575324e+01,1.038550872802734375e+02
1.156487560604319320e+01,1.029647445678710938e+02
1.172329855955063493e+01,1.063902969360351562e+02
1.188172151305807667e+01,1.058082199096679688e+02
1.204014446656551662e+01,1.098825912475585938e+02
1.219856742007295836e+01,1.184562759399414062e+02
1.235699037358039831e+01,1.126874694824218750e+02
1.251541332708784005e+01,1.102859115600585938e+02
1.267383628059528178e+01,1.148328781127929688e+02
1.283225923410272173e+01,1.103932266235351562e+02
1.299068218761016347e+01,1.200468063354492188e+02
1.314910514111760342e+01,1.225401306152343750e+02
1.330752809462504516e+01,1.135973281860351562e+02
1.346595104813248511e+01,1.106847686767578125e+02
1.362437400163992685e+01,1.090038299560546875e+02
