频率(Hz),功率谱密度
0.000000000000000000e+00,4.209731292724609375e+01
1.455348382685829611e-01,1.863168182373046875e+02
2.910696765371659223e-01,1.510212554931640625e+02
4.366045148057489111e-01,1.240105514526367188e+02
5.821393530743318445e-01,1.262363433837890625e+02
7.276741913429147779e-01,1.200399169921875000e+02
8.732090296114978223e-01,1.061674041748046875e+02
1.018743867880080645e+00,1.045763320922851562e+02
1.164278706148663689e+00,1.204136123657226562e+02
1.309813544417246733e+00,1.208469924926757812e+02
1.455348382685829556e+00,1.246817550659179688e+02
1.600883220954412600e+00,1.201156082153320312e+02
1.746418059222995645e+00,1.129564590454101562e+02
1.891952897491578467e+00,1.094685440063476562e+02
2.037487735760161289e+00,1.083869476318359375e+02
2.183022574028744334e+00,1.130758972167968750e+02
2.328557412297327378e+00,1.100738296508789062e+02
2.474092250565910422e+00,1.206963348388671875e+02
2.619627088834493467e+00,1.352435302734375000e+02
2.765161927103076067e+00,1.229537734985351562e+02
2.910696765371659112e+00,1.256217803955078125e+02
3.056231603640242156e+00,1.253762741088867188e+02
3.201766441908825200e+00,1.201918029785156250e+02
3.347301280177408245e+00,1.190774002075195312e+02
3.492836118445991289e+00,1.235943069458007812e+02
3.638370956714573889e+00,1.123552322387695312e+02
3.783905794983156934e+00,1.135841369628906250e+02
3.929440633251739978e+00,1.234506454467773438e+02
4.074975471520322579e+00,1.240904464721679688e+02
4.220510309788905623e+00,1.192055206298828125e+02
4.366045148057488667e+00,1.190524139404296875e+02
4.511579986326071712e+00,1.144928436279296875e+02
4.657114824594654756e+00,1.088137054443359375e+02
4.802649662863237801e+00,1.048053436279296875e+02
4.948184501131820845e+00,1.052215118408203125e+02
5.093719339400403889e+00,1.116088867187500000e+02
5.239254177668986934e+00,1.187001342773437500e+02
5.384789015937569978e+00,1.104161682128906250e+02
5.530323854206152134e+00,1.093914413452148438e+02
5.675858692474735179e+00,1.121869049072265625e+02
5.821393530743318223e+00,1.085917892456054688e+02
5.966928369011901268e+00,1.081744384765625000e+02
6.112463207280484312e+00,1.181385955810546875e+02
6.257998045549067356e+00,1.165341186523437500e+02
6.403532883817650401e+00,1.137961044311523438e+02
6.549067722086233445e+00,1.046319274902343750e+02
6.694602560354816490e+00,1.108305816650390625e+02
6.840137398623399534e+00,1.050249328613281250e+02
6.985672236891982578e+00,1.078097763061523438e+02
7.131207075160564735e+00,1.030508880615234375e+02
7.276741913429147779e+00,1.139168319702148438e+02
7.422276751697730823e+00,1.194397201538085938e+02
7.567811589966313868e+00,1.049658737182617188e+02
7.713346428234896912e+00,1.061422500610351562e+02
7.858881266503479956e+00,1.076105270385742188e+02
8.004416104772062113e+00,1.016095809936523438e+02
8.149950943040645157e+00,1.040380935668945312e+02
8.295485781309228202e+00,1.120961914062500000e+02
8.441020619577811246e+00,1.129655380249023438e+02
8.586555457846394290e+00,1.066335906982421875e+02
8.732090296114977335e+00,9.427825927734375000e+01
8.877625134383560379e+00,9.301912689208984375e+01
9.023159972652143423e+00,9.945649719238281250e+01
9.168694810920726468e+00,9.311224365234375000e+01
9.314229649189309512e+00,1.046602935791015625e+02
9.459764487457892557e+00,1.149828186035156250e+02
9.605299325726475601e+00,1.039105148315429688e+02
9.750834163995058645e+00,9.476480865478515625e+01
9.896369002263641690e+00,9.438213348388671875e+01
1.004190384053222473e+01,9.878509521484375000e+01
1.018743867880080778e+01,1.012018737792968750e+02
1.033297351706939082e+01,9.201083374023437500e+01
1.047850835533797387e+01,8.736408996582031250e+01
1.062404319360655691e+01,9.184432983398437500e+01
1.076957803187513996e+01,9.965279388427734375e+01
1.091511287014372122e+01,9.692927551269531250e+01
1.106064770841230427e+01,9.225466918945312500e+01
1.120618254668088731e+01,9.529426574707031250e+01
1.135171738494947036e+01,1.032153015136718750e+02
1.149725222321805340e+01,1.110366516113281250e+02
1.164278706148663645e+01,9.750758361816406250e+01
1.178832189975521949e+01,9.377620697021484375e+01
1.193385673802380254e+01,1.029922103881835938e+02
1.207939157629238558e+01,9.477394866943359375e+01
1.222492641456096862e+01,9.123310089111328125e+01
1.237046125282955167e+01,9.042474365234375000e+01
1.251599609109813471e+01,9.191981506347656250e+01
1.266153092936671776e+01,9.229286956787109375e+01
1.280706576763530080e+01,9.067113494873046875e+01
1.295260060590388385e+01,9.245589447021484375e+01
1.309813544417246689e+01,9.401016998291015625e+01
1.324367028244104993e+01,9.407624053955078125e+01
1.338920512070963298e+01,1.045112915039062500e+02
1.353473995897821602e+01,9.915911865234375000e+01
1.368027479724679907e+01,8.852638244628906250e+01
1.382580963551538211e+01,8.621253204345703125e+01
1.397134447378396516e+01,8.908499908447265625e+01
1.411687931205254642e+01,8.822109222412109375e+01
1.426241415032112947e+01,8.495391845703125000e+01
1.440794898858971251e+01,8.574139404296875000e+01
1.455348382685829556e+01,8.566716766357421875e+01
1.469901866512687860e+01,9.002091217041015625e+01
1.484455350339546165e+01,8.558464813232421875e+01
1.499008834166404469e+01,7.824748992919921875e+01
1.513562317993262774e+01,7.933333587646484375e+01
1.528115801820121078e+01,7.718212127685546875e+01
1.542669285646979382e+01,7.906019592285156250e+01
1.557222769473837687e+01,8.083346557617187500e+01
1.571776253300695991e+01,8.171364593505859375e+01
1.586329737127554296e+01,7.701447296142578125e+01
1.600883220954412423e+01,7.813925170898437500e+01
1.615436704781270905e+01,8.045404052734375000e+01
1.629990188608129031e+01,7.869137573242187500e+01
1.644543672434987513e+01,7.334201049804687500e+01
1.659097156261845640e+01,8.184714508056640625e+01
1.673650640088704122e+01,7.651026153564453125e+01
1.688204123915562249e+01,8.186865234375000000e+01
1.702757607742420731e+01,8.329642486572265625e+01
1.717311091569278858e+01,7.858698272705078125e+01
1.731864575396137340e+01,7.265522003173828125e+01
1.746418059222995467e+01,8.487442016601562500e+01
1.760971543049853949e+01,8.104755401611328125e+01
1.775525026876712076e+01,7.700598907470703125e+01
1.790078510703570558e+01,8.676917266845703125e+01
1.804631994530428685e+01,8.204162597656250000e+01
1.819185478357287167e+01,7.319599151611328125e+01
1.833738962184145294e+01,7.267843627929687500e+01
1.848292446011003776e+01,7.499734497070312500e+01
1.862845929837861902e+01,7.135443115234375000e+01
1.877399413664720029e+01,7.360670471191406250e+01
1.891952897491578511e+01,6.942234039306640625e+01
1.906506381318436638e+01,6.491505432128906250e+01
1.921059865145295120e+01,7.057463836669921875e+01
1.935613348972153247e+01,7.375303649902343750e+01
1.950166832799011729e+01,7.021594238281250000e+01
1.964720316625869856e+01,7.175736999511718750e+01
1.979273800452728338e+01,6.607812500000000000e+01
1.993827284279586465e+01,6.571697998046875000e+01
2.008380768106444947e+01,6.382831573486328125e+01
2.022934251933303074e+01,6.573384094238281250e+01
2.037487735760161556e+01,6.780979156494140625e+01
2.052041219587019683e+01,6.470861053466796875e+01
2.066594703413878165e+01,6.262580108642578125e+01
2.081148187240736291e+01,6.123647308349609375e+01
2.095701671067594773e+01,5.544794464111328125e+01
2.110255154894452900e+01,5.825804138183593750e+01
2.124808638721311382e+01,6.834568786621093750e+01
2.139362122548169509e+01,6.165650177001953125e+01
2.153915606375027991e+01,5.993215560913085938e+01
2.168469090201886118e+01,7.048240661621093750e+01
2.183022574028744245e+01,6.582276916503906250e+01
2.197576057855602727e+01,6.253087615966796875e+01
2.212129541682460854e+01,6.447010040283203125e+01
2.226683025509319336e+01,7.062528228759765625e+01
2.241236509336177463e+01,6.752855682373046875e+01
2.255789993163035945e+01,6.337273406982421875e+01
