频率(Hz),功率谱密度
0.000000000000000000e+00,7.252416992187500000e+01
1.351552831460725856e-01,5.059607238769531250e+02
2.703105662921451713e-01,2.302036437988281250e+02
4.054658494382177292e-01,1.116776351928710938e+02
5.406211325842903426e-01,8.785861968994140625e+01
6.757764157303629560e-01,7.992729949951171875e+01
8.109316988764354583e-01,8.008666992187500000e+01
9.460869820225080717e-01,7.966732788085937500e+01
1.081242265168580685e+00,6.904983520507812500e+01
1.216397548314653188e+00,7.050219726562500000e+01
1.351552831460725912e+00,6.946321105957031250e+01
1.486708114606798414e+00,6.520180511474609375e+01
1.621863397752870917e+00,6.532764434814453125e+01
1.757018680898943641e+00,6.033501815795898438e+01
1.892173964045016143e+00,5.899298477172851562e+01
2.027329247191088868e+00,6.217987823486328125e+01
2.162484530337161370e+00,6.472754669189453125e+01
2.297639813483233873e+00,6.045365142822265625e+01
2.432795096629306375e+00,6.206477355957031250e+01
2.567950379775379322e+00,6.256871795654296875e+01
2.703105662921451824e+00,5.993230438232421875e+01
2.838260946067524326e+00,5.880582427978515625e+01
2.973416229213596829e+00,6.481233978271484375e+01
3.108571512359669331e+00,7.545524597167968750e+01
3.243726795505741833e+00,6.905820465087890625e+01
3.378882078651814780e+00,6.558216094970703125e+01
3.514037361797887282e+00,6.623661804199218750e+01
3.649192644943959785e+00,6.031370925903320312e+01
3.784347928090032287e+00,7.000938415527343750e+01
3.919503211236104789e+00,7.163345336914062500e+01
4.054658494382177736e+00,6.323906326293945312e+01
4.189813777528249794e+00,6.615144348144531250e+01
4.324969060674322741e+00,5.822138595581054688e+01
4.460124343820395687e+00,5.448226928710937500e+01
4.595279626966467745e+00,5.056265640258789062e+01
4.730434910112540692e+00,5.780311203002929688e+01
4.865590193258612750e+00,6.113292694091796875e+01
5.000745476404685697e+00,5.763774108886718750e+01
5.135900759550758643e+00,6.076774978637695312e+01
5.271056042696830701e+00,5.722782897949218750e+01
5.406211325842903648e+00,5.565772247314453125e+01
5.541366608988975706e+00,5.828470611572265625e+01
5.676521892135048653e+00,5.900767517089843750e+01
5.811677175281121599e+00,5.703762817382812500e+01
5.946832458427193657e+00,5.409910202026367188e+01
6.081987741573266604e+00,5.267244338989257812e+01
6.217143024719338662e+00,5.524848175048828125e+01
6.352298307865411608e+00,5.378429031372070312e+01
6.487453591011483667e+00,5.922749710083007812e+01
6.622608874157556613e+00,5.849339675903320312e+01
6.757764157303629560e+00,5.304009246826171875e+01
6.892919440449701618e+00,5.247573089599609375e+01
