频率(Hz),功率谱密度
0.000000000000000000e+00,2.801508522033691406e+01
1.316754923075594830e-01,1.471558685302734375e+02
2.633509846151189659e-01,1.755576019287109375e+02
3.950264769226784489e-01,1.611311035156250000e+02
5.267019692302379319e-01,1.616481781005859375e+02
6.583774615377974149e-01,1.634019927978515625e+02
7.900529538453568978e-01,1.742178649902343750e+02
9.217284461529163808e-01,1.584566650390625000e+02
1.053403938460475864e+00,1.608050384521484375e+02
1.185079430768035458e+00,1.757870025634765625e+02
1.316754923075594830e+00,1.635736083984375000e+02
1.448430415383154202e+00,1.607518920898437500e+02
1.580105907690713796e+00,1.542727966308593750e+02
1.711781399998273390e+00,1.576800994873046875e+02
1.843456892305832762e+00,1.729509735107421875e+02
1.975132384613392134e+00,1.690357666015625000e+02
2.106807876920951728e+00,1.524678955078125000e+02
2.238483369228511322e+00,1.571722412109375000e+02
2.370158861536070916e+00,1.525209503173828125e+02
2.501834353843630065e+00,1.762050781250000000e+02
2.633509846151189659e+00,1.793738708496093750e+02
2.765185338458749253e+00,1.669081268310546875e+02
2.896860830766308403e+00,1.711561431884765625e+02
3.028536323073867997e+00,1.723197326660156250e+02
3.160211815381427591e+00,1.628384857177734375e+02
3.291887307688987185e+00,1.645985870361328125e+02
3.423562799996546779e+00,1.659067077636718750e+02
3.555238292304105929e+00,1.655636138916015625e+02
3.686913784611665523e+00,1.682707366943359375e+02
3.818589276919225117e+00,1.613469696044921875e+02
3.950264769226784267e+00,1.521221618652343750e+02
4.081940261534343861e+00,1.473092346191406250e+02
4.213615753841903455e+00,1.542735595703125000e+02
4.345291246149463049e+00,1.645870361328125000e+02
4.476966738457022643e+00,1.734362640380859375e+02
4.608642230764582237e+00,1.701389770507812500e+02
4.740317723072141831e+00,1.591667633056640625e+02
4.871993215379700537e+00,1.655534362792968750e+02
5.003668707687260131e+00,1.591336364746093750e+02
5.135344199994819725e+00,1.577980041503906250e+02
5.267019692302379319e+00,1.655102539062500000e+02
5.398695184609938913e+00,1.652051696777343750e+02
5.530370676917498507e+00,1.510848388671875000e+02
5.662046169225058101e+00,1.414383544921875000e+02
5.793721661532616807e+00,1.408608245849609375e+02
5.925397153840176401e+00,1.510502166748046875e+02
6.057072646147735995e+00,1.425171966552734375e+02
6.188748138455295589e+00,1.448079681396484375e+02
6.320423630762855183e+00,1.513022613525390625e+02
6.452099123070414777e+00,1.551337127685546875e+02
6.583774615377974371e+00,1.532057800292968750e+02
6.715450107685533965e+00,1.525934753417968750e+02
6.847125599993093559e+00,1.455155181884765625e+02
6.978801092300652265e+00,1.506227874755859375e+02
7.110476584608211859e+00,1.588424377441406250e+02
7.242152076915771453e+00,1.578025970458984375e+02
7.373827569223331047e+00,1.486332244873046875e+02
7.505503061530890641e+00,1.481558074951171875e+02
7.637178553838450235e+00,1.459886322021484375e+02
7.768854046146009829e+00,1.488909606933593750e+02
7.900529538453568534e+00,1.408580474853515625e+02
8.032205030761128128e+00,1.412178802490234375e+02
8.163880523068687722e+00,1.415390930175781250e+02
8.295556015376247316e+00,1.454243774414062500e+02
8.427231507683806910e+00,1.496310577392578125e+02
8.558906999991366504e+00,1.371852416992187500e+02
8.690582492298926098e+00,1.425738525390625000e+02
8.822257984606485692e+00,1.402106475830078125e+02
8.953933476914045286e+00,1.354324798583984375e+02
9.085608969221604880e+00,1.440714263916015625e+02
9.217284461529164474e+00,1.471709594726562500e+02
9.348959953836724068e+00,1.414368286132812500e+02
9.480635446144283662e+00,1.523878479003906250e+02
9.612310938451841480e+00,1.508872070312500000e+02
9.743986430759401074e+00,1.445944824218750000e+02
9.875661923066960668e+00,1.376854705810546875e+02
1.000733741537452026e+01,1.407909393310546875e+02
1.013901290768207986e+01,1.409723815917968750e+02
1.027068839998963945e+01,1.408626403808593750e+02
1.040236389229719904e+01,1.462538146972656250e+02
1.053403938460475864e+01,1.451158142089843750e+02
1.066571487691231823e+01,1.285185699462890625e+02
1.079739036921987783e+01,1.150901107788085938e+02
1.092906586152743742e+01,1.265131912231445312e+02
1.106074135383499701e+01,1.288673553466796875e+02
1.119241684614255661e+01,1.257714538574218750e+02
1.132409233845011620e+01,1.194252929687500000e+02
1.145576783075767580e+01,1.287696228027343750e+02
1.158744332306523361e+01,1.332472991943359375e+02
1.171911881537279321e+01,1.318744354248046875e+02
1.185079430768035280e+01,1.287631530761718750e+02
1.198246979998791240e+01,1.259202270507812500e+02
1.211414529229547199e+01,1.310363311767578125e+02
1.224582078460303158e+01,1.229259414672851562e+02
1.237749627691059118e+01,1.339640655517578125e+02
1.250917176921815077e+01,1.314085083007812500e+02
1.264084726152571037e+01,1.173629837036132812e+02
1.277252275383326996e+01,1.248208389282226562e+02
1.290419824614082955e+01,1.228027648925781250e+02
1.303587373844838915e+01,1.108610000610351562e+02
1.316754923075594874e+01,1.191189727783203125e+02
1.329922472306350834e+01,1.201650466918945312e+02
1.343090021537106793e+01,1.292268524169921875e+02
1.356257570767862752e+01,1.143725280761718750e+02
1.369425119998618712e+01,1.206752777099609375e+02
1.382592669229374494e+01,1.387639617919921875e+02
1.395760218460130453e+01,1.250954589843750000e+02
1.408927767690886412e+01,1.250938873291015625e+02
1.422095316921642372e+01,1.222881088256835938e+02
1.435262866152398331e+01,1.171200561523437500e+02
1.448430415383154291e+01,1.110265579223632812e+02
1.461597964613910250e+01,1.206162490844726562e+02
1.474765513844666209e+01,1.180621795654296875e+02
1.487933063075422169e+01,1.117999649047851562e+02
1.501100612306178128e+01,1.114575653076171875e+02
1.514268161536934088e+01,1.104050750732421875e+02
1.527435710767690047e+01,1.010797424316406250e+02
1.540603259998446006e+01,1.086095352172851562e+02
1.553770809229201966e+01,1.162161636352539062e+02
1.566938358459957925e+01,1.145546188354492188e+02
1.580105907690713707e+01,1.088552703857421875e+02
1.593273456921469666e+01,1.117648468017578125e+02
1.606441006152225626e+01,1.095548706054687500e+02
1.619608555382981763e+01,1.067168197631835938e+02
1.632776104613737544e+01,1.030834655761718750e+02
1.645943653844493682e+01,1.014776535034179688e+02
1.659111203075249463e+01,9.483811950683593750e+01
1.672278752306005600e+01,9.661589050292968750e+01
1.685446301536761382e+01,9.835712432861328125e+01
1.698613850767517164e+01,9.972458648681640625e+01
1.711781399998273301e+01,1.009061355590820312e+02
1.724948949229029083e+01,1.017870254516601562e+02
1.738116498459785220e+01,1.022083129882812500e+02
1.751284047690541001e+01,1.062669067382812500e+02
1.764451596921297138e+01,1.091419982910156250e+02
1.777619146152052920e+01,1.021662445068359375e+02
1.790786695382809057e+01,9.894197082519531250e+01
1.803954244613564839e+01,9.712171936035156250e+01
1.817121793844320976e+01,9.667935943603515625e+01
1.830289343075076758e+01,1.012365493774414062e+02
