频率(Hz),功率谱密度
0.000000000000000000e+00,2.811047554016113281e+01
1.538259451102808317e-01,2.534912719726562500e+02
3.076518902205616635e-01,1.255782089233398438e+02
4.614778353308425229e-01,7.691198730468750000e+01
6.153037804411233269e-01,6.222098922729492188e+01
7.691297255514041309e-01,6.364071655273437500e+01
9.229556706616850459e-01,7.361985015869140625e+01
1.076781615771965850e+00,7.379737854003906250e+01
1.230607560882246654e+00,6.832735443115234375e+01
1.384433505992527458e+00,6.904261779785156250e+01
1.538259451102808262e+00,7.777039337158203125e+01
1.692085396213089066e+00,8.029505157470703125e+01
1.845911341323370092e+00,8.205419158935546875e+01
1.999737286433650896e+00,7.893352508544921875e+01
2.153563231543931700e+00,7.884238433837890625e+01
2.307389176654212282e+00,8.859638977050781250e+01
2.461215121764493308e+00,9.004029846191406250e+01
2.615041066874774334e+00,8.397171783447265625e+01
2.768867011985054916e+00,8.489434814453125000e+01
2.922692957095335942e+00,8.173963928222656250e+01
3.076518902205616524e+00,8.680233764648437500e+01
3.230344847315897550e+00,1.006850662231445312e+02
3.384170792426178132e+00,1.497219543457031250e+02
3.537996737536459158e+00,1.796583709716796875e+02
3.691822682646740184e+00,2.475300598144531250e+02
3.845648627757020765e+00,3.478797912597656250e+02
3.999474572867301791e+00,3.621117553710937500e+02
4.153300517977582373e+00,3.022839965820312500e+02
4.307126463087863399e+00,1.783704071044921875e+02
4.460952408198144425e+00,1.120820541381835938e+02
4.614778353308424563e+00,9.687046813964843750e+01
4.768604298418705589e+00,1.071372222900390625e+02
4.922430243528986615e+00,9.593666076660156250e+01
5.076256188639267641e+00,7.469395446777343750e+01
5.230082133749548667e+00,7.961612701416015625e+01
5.383908078859828805e+00,1.206622161865234375e+02
5.537734023970109831e+00,1.325483703613281250e+02
5.691559969080390857e+00,7.833277130126953125e+01
5.845385914190671883e+00,6.367632675170898438e+01
5.999211859300952021e+00,6.568885040283203125e+01
6.153037804411233047e+00,7.798749542236328125e+01
6.306863749521514073e+00,7.852013397216796875e+01
6.460689694631795099e+00,6.649904632568359375e+01
6.614515639742076125e+00,7.293932342529296875e+01
6.768341584852356263e+00,6.967964935302734375e+01
6.922167529962637289e+00,7.474566650390625000e+01
7.075993475072918315e+00,6.691265869140625000e+01
7.229819420183199341e+00,6.780246734619140625e+01
7.383645365293480367e+00,7.614595794677734375e+01
7.537471310403760505e+00,8.001236724853515625e+01
7.691297255514041531e+00,8.270594024658203125e+01
7.845123200624322557e+00,7.816639709472656250e+01
7.998949145734603583e+00,8.051120758056640625e+01
