频率(Hz),功率谱密度
0.000000000000000000e+00,1.428950214385986328e+01
1.534190053324993863e-01,8.738856506347656250e+01
3.068380106649987726e-01,4.492324066162109375e+01
4.602570159974981312e-01,3.649094390869140625e+01
6.136760213299975453e-01,3.597242736816406250e+01
7.670950266624969593e-01,3.530549621582031250e+01
9.205140319949962624e-01,3.477729034423828125e+01
1.073933037327495787e+00,3.448902511596679688e+01
1.227352042659995091e+00,3.646319961547851562e+01
1.380771047992494394e+00,3.408718872070312500e+01
1.534190053324993919e+00,3.192037391662597656e+01
1.687609058657493222e+00,3.127882957458496094e+01
1.841028063989992525e+00,3.394393920898437500e+01
1.994447069322492050e+00,3.699425506591796875e+01
2.147866074654991575e+00,3.843007278442382812e+01
2.301285079987490878e+00,3.557763290405273438e+01
2.454704085319990181e+00,3.847413635253906250e+01
2.608123090652489484e+00,4.129254150390625000e+01
2.761542095984988787e+00,4.130719375610351562e+01
2.914961101317488534e+00,4.086600875854492188e+01
3.068380106649987837e+00,4.107590866088867188e+01
3.221799111982487140e+00,4.329088592529296875e+01
3.375218117314986443e+00,4.995049285888671875e+01
3.528637122647485747e+00,6.833264923095703125e+01
3.682056127979985050e+00,1.114637145996093750e+02
3.835475133312484797e+00,1.773039245605468750e+02
3.988894138644984100e+00,2.673813781738281250e+02
4.142313143977483847e+00,3.845322570800781250e+02
4.295732149309983150e+00,3.772846679687500000e+02
4.449151154642482453e+00,2.095328216552734375e+02
4.602570159974981756e+00,1.207740859985351562e+02
4.755989165307481059e+00,1.011332550048828125e+02
4.909408170639980362e+00,1.346391448974609375e+02
5.062827175972479665e+00,1.779500274658203125e+02
5.216246181304978968e+00,2.168521423339843750e+02
5.369665186637478271e+00,1.804201812744140625e+02
5.523084191969977574e+00,8.690776824951171875e+01
5.676503197302476877e+00,4.548762893676757812e+01
5.829922202634977069e+00,4.512535858154296875e+01
5.983341207967476372e+00,4.273283386230468750e+01
6.136760213299975675e+00,3.943814086914062500e+01
6.290179218632474978e+00,4.166839981079101562e+01
6.443598223964974281e+00,4.117887496948242188e+01
6.597017229297473584e+00,3.999248886108398438e+01
6.750436234629972887e+00,3.980816268920898438e+01
6.903855239962472190e+00,3.683345031738281250e+01
7.057274245294971493e+00,3.984891891479492188e+01
7.210693250627470796e+00,4.679395294189453125e+01
7.364112255959970099e+00,5.137052154541015625e+01
7.517531261292470290e+00,5.471537780761718750e+01
7.670950266624969593e+00,7.002604675292968750e+01
7.824369271957468897e+00,7.852312469482421875e+01
7.977788277289968200e+00,8.176905822753906250e+01
8.131207282622467503e+00,8.739264678955078125e+01
8.284626287954967694e+00,9.252732086181640625e+01
8.438045293287466109e+00,1.008875579833984375e+02
8.591464298619966300e+00,8.743953704833984375e+01
8.744883303952464715e+00,8.659280395507812500e+01
8.898302309284964906e+00,7.832494354248046875e+01
9.051721314617463321e+00,7.063785552978515625e+01
9.205140319949963512e+00,5.282506179809570312e+01
9.358559325282461927e+00,4.816161727905273438e+01
9.511978330614962118e+00,4.537745666503906250e+01
9.665397335947460533e+00,4.382915115356445312e+01
9.818816341279960724e+00,4.403343582153320312e+01
9.972235346612460916e+00,4.829983901977539062e+01
1.012565435194495933e+01,4.492002105712890625e+01
1.027907335727745952e+01,5.112357711791992188e+01
1.043249236260995794e+01,6.152091979980468750e+01
1.058591136794245813e+01,5.329345321655273438e+01
1.073933037327495654e+01,5.731985092163085938e+01
1.089274937860745673e+01,5.629523086547851562e+01
1.104616838393995515e+01,4.654496765136718750e+01
1.119958738927245534e+01,4.163412094116210938e+01
1.135300639460495375e+01,3.811636734008789062e+01
1.150642539993745395e+01,3.829024124145507812e+01
1.165984440526995414e+01,4.052734756469726562e+01
1.181326341060245255e+01,3.960842895507812500e+01
1.196668241593495274e+01,3.819649505615234375e+01
1.212010142126745116e+01,3.696168136596679688e+01
1.227352042659995135e+01,3.608714294433593750e+01
1.242693943193244976e+01,3.524188995361328125e+01
1.258035843726494996e+01,3.557818984985351562e+01
1.273377744259744837e+01,3.151992034912109375e+01
1.288719644792994856e+01,3.484944152832031250e+01
1.304061545326244698e+01,3.383990097045898438e+01
1.319403445859494717e+01,3.573197174072265625e+01
1.334745346392744736e+01,3.572676467895507812e+01
1.350087246925994577e+01,3.314802932739257812e+01
1.365429147459244597e+01,3.115387344360351562e+01
1.380771047992494438e+01,2.887667274475097656e+01
1.396112948525744457e+01,2.841726875305175781e+01
1.411454849058994299e+01,2.968569564819335938e+01
1.426796749592244318e+01,2.796347045898437500e+01
1.442138650125494159e+01,2.335341453552246094e+01
1.457480550658744178e+01,2.258391571044921875e+01
1.472822451191994020e+01,2.299718475341796875e+01
1.488164351725244039e+01,2.443757629394531250e+01
1.503506252258494058e+01,2.369383811950683594e+01
1.518848152791743900e+01,2.542425155639648438e+01
1.534190053324993919e+01,2.690036010742187500e+01
1.549531953858243760e+01,2.706971359252929688e+01
1.564873854391493779e+01,2.912243080139160156e+01
1.580215754924743621e+01,2.717127227783203125e+01
1.595557655457993640e+01,2.961169624328613281e+01
1.610899555991243659e+01,3.115311622619628906e+01
1.626241456524493501e+01,2.290201950073242188e+01
1.641583357057743342e+01,2.316208267211914062e+01
1.656925257590993539e+01,2.420630455017089844e+01
1.672267158124243380e+01,2.289170646667480469e+01
1.687609058657493222e+01,2.175358390808105469e+01
1.702950959190743063e+01,2.111770248413085938e+01
1.718292859723993260e+01,1.911244773864746094e+01
1.733634760257243101e+01,2.050583457946777344e+01
1.748976660790492943e+01,2.280472373962402344e+01
1.764318561323742784e+01,2.120172500610351562e+01
1.779660461856992981e+01,1.812205314636230469e+01
1.795002362390242823e+01,1.693108367919921875e+01
1.810344262923492664e+01,1.682514762878417969e+01
1.825686163456742861e+01,1.635329055786132812e+01
1.841028063989992702e+01,1.625548934936523438e+01
1.856369964523242544e+01,1.431795406341552734e+01
1.871711865056492385e+01,1.368029499053955078e+01
1.887053765589742582e+01,1.380819606781005859e+01
1.902395666122992424e+01,1.539872360229492188e+01
1.917737566656242265e+01,1.640295600891113281e+01
1.933079467189492107e+01,1.347001171112060547e+01
1.948421367722742303e+01,1.383315181732177734e+01
1.963763268255992145e+01,1.515441894531250000e+01
1.979105168789241986e+01,1.561248016357421875e+01
1.994447069322492183e+01,1.521697139739990234e+01
2.009788969855742025e+01,1.424864196777343750e+01
2.025130870388991866e+01,1.519739627838134766e+01
2.040472770922241708e+01,1.446722126007080078e+01
2.055814671455491904e+01,1.256385993957519531e+01
2.071156571988741746e+01,1.388544464111328125e+01
2.086498472521991587e+01,1.430381011962890625e+01
2.101840373055241429e+01,1.353365802764892578e+01
2.117182273588491626e+01,1.289727497100830078e+01
2.132524174121741467e+01,1.241515064239501953e+01
2.147866074654991309e+01,1.276722335815429688e+01
2.163207975188241505e+01,1.334139633178710938e+01
2.178549875721491347e+01,1.333954811096191406e+01
2.193891776254741188e+01,1.012881755828857422e+01
2.209233676787991030e+01,9.480279922485351562e+00
2.224575577321241227e+01,9.664241790771484375e+00
2.239917477854491068e+01,1.151834106445312500e+01
2.255259378387740909e+01,1.131002712249755859e+01
2.270601278920990751e+01,9.656712532043457031e+00
2.285943179454240948e+01,8.745373725891113281e+00
2.301285079987490789e+01,9.025358200073242188e+00
2.316626980520740631e+01,8.730565071105957031e+00
2.331968881053990827e+01,8.249706268310546875e+00
2.347310781587240669e+01,7.007756233215332031e+00
2.362652682120490510e+01,7.219639778137207031e+00
2.377994582653740352e+01,7.968104362487792969e+00
2.393336483186990549e+01,7.964725017547607422e+00
2.408678383720240390e+01,9.840312004089355469e+00
2.424020284253490232e+01,8.731592178344726562e+00
2.439362184786740073e+01,7.858858585357666016e+00
2.454704085319990270e+01,8.106110572814941406e+00
2.470045985853240111e+01,7.431776046752929688e+00
2.485387886386489953e+01,7.430510044097900391e+00
2.500729786919740150e+01,8.856357574462890625e+00
2.516071687452989991e+01,8.151739120483398438e+00
2.531413587986239833e+01,6.530579566955566406e+00
2.546755488519489674e+01,7.015122413635253906e+00
2.562097389052739871e+01,8.042990684509277344e+00
2.577439289585989712e+01,8.269860267639160156e+00
2.592781190119239554e+01,7.955609321594238281e+00
2.608123090652489395e+01,8.215179443359375000e+00
2.623464991185739592e+01,8.054759025573730469e+00
2.638806891718989434e+01,7.401620864868164062e+00
2.654148792252239275e+01,6.822734832763671875e+00
2.669490692785489472e+01,7.016983985900878906e+00
2.684832593318739313e+01,7.781651973724365234e+00
2.700174493851989155e+01,6.734530925750732422e+00
2.715516394385238996e+01,5.972089290618896484e+00
2.730858294918489193e+01,5.576066970825195312e+00
2.746200195451739035e+01,6.101767063140869141e+00
2.761542095984988876e+01,6.694787025451660156e+00
2.776883996518238717e+01,5.814286708831787109e+00
2.792225897051488914e+01,6.686709403991699219e+00
2.807567797584738756e+01,6.497720241546630859e+00
2.822909698117988597e+01,5.335556983947753906e+00
2.838251598651238794e+01,4.532192230224609375e+00
2.853593499184488635e+01,6.008347511291503906e+00
2.868935399717738477e+01,5.122758388519287109e+00
2.884277300250988318e+01,4.746676445007324219e+00
2.899619200784238515e+01,4.940489292144775391e+00
2.914961101317488357e+01,4.869440078735351562e+00
2.930303001850738198e+01,3.902505874633789062e+00
2.945644902383988040e+01,3.915962219238281250e+00
2.960986802917238236e+01,3.326217412948608398e+00
2.976328703450488078e+01,3.566116094589233398e+00
2.991670603983737919e+01,3.294200420379638672e+00
3.007012504516988116e+01,4.047869682312011719e+00
3.022354405050237958e+01,4.582018375396728516e+00
3.037696305583487799e+01,4.384985446929931641e+00
3.053038206116737641e+01,4.623741149902343750e+00
3.068380106649987837e+01,4.063443660736083984e+00
3.083722007183237679e+01,3.666987419128417969e+00
3.099063907716487520e+01,3.195978641510009766e+00
3.114405808249737717e+01,3.414517164230346680e+00
3.129747708782987559e+01,3.512540340423583984e+00
3.145089609316237400e+01,3.211921453475952148e+00
3.160431509849487242e+01,3.496972322463989258e+00
3.175773410382737438e+01,3.344601154327392578e+00
3.191115310915987280e+01,4.141026020050048828e+00
3.206457211449237121e+01,3.977484703063964844e+00
3.221799111982487318e+01,3.582273244857788086e+00
3.237141012515736804e+01,3.775063276290893555e+00
3.252482913048987001e+01,4.006402969360351562e+00
3.267824813582237198e+01,3.615490436553955078e+00
3.283166714115486684e+01,3.326399564743041992e+00
3.298508614648736881e+01,3.405146360397338867e+00
3.313850515181987078e+01,3.384127378463745117e+00
3.329192415715236564e+01,4.294301986694335938e+00
3.344534316248486761e+01,3.986038446426391602e+00
3.359876216781736247e+01,3.206887245178222656e+00
3.375218117314986443e+01,2.651320219039916992e+00
3.390560017848236640e+01,3.641385316848754883e+00
3.405901918381486126e+01,3.191757678985595703e+00
3.421243818914736323e+01,2.143428087234497070e+00
3.436585719447986520e+01,2.574596405029296875e+00
3.451927619981236006e+01,2.612071275711059570e+00
3.467269520514486203e+01,2.043070316314697266e+00
3.482611421047736400e+01,2.042403697967529297e+00
3.497953321580985886e+01,2.347874641418457031e+00
3.513295222114236083e+01,2.591261863708496094e+00
3.528637122647485569e+01,2.557625770568847656e+00
3.543979023180735766e+01,2.664959669113159180e+00
3.559320923713985962e+01,3.170604705810546875e+00
3.574662824247235449e+01,3.015109539031982422e+00
3.590004724780485645e+01,3.971060514450073242e+00
3.605346625313735842e+01,2.890853404998779297e+00
3.620688525846985328e+01,1.780809521675109863e+00
3.636030426380235525e+01,2.095214366912841797e+00
3.651372326913485722e+01,2.477823495864868164e+00
3.666714227446735208e+01,2.168014764785766602e+00
3.682056127979985405e+01,2.724327802658081055e+00
3.697398028513234891e+01,3.020929336547851562e+00
3.712739929046485088e+01,4.429755687713623047e+00
3.728081829579735285e+01,4.735429286956787109e+00
3.743423730112984771e+01,2.907373189926147461e+00
3.758765630646234968e+01,2.518057823181152344e+00
3.774107531179485164e+01,3.906267881393432617e+00
3.789449431712734651e+01,4.044545173645019531e+00
3.804791332245984847e+01,3.052692413330078125e+00
3.820133232779235044e+01,2.782682418823242188e+00
3.835475133312484530e+01,2.191857814788818359e+00
3.850817033845734727e+01,2.009934902191162109e+00
3.866158934378984213e+01,1.775632381439208984e+00
3.881500834912234410e+01,2.290729999542236328e+00
3.896842735445484607e+01,3.049355268478393555e+00
3.912184635978734093e+01,2.844833850860595703e+00
3.927526536511984290e+01,1.544615745544433594e+00
