频率(Hz),功率谱密度
0.000000000000000000e+00,3.890519714355468750e+01
1.431489804530477195e-01,1.979687652587890625e+02
2.862979609060954389e-01,7.827621459960937500e+01
4.294469413591431861e-01,4.556076812744140625e+01
5.725959218121908778e-01,3.510093688964843750e+01
7.157449022652385695e-01,2.869043922424316406e+01
8.588938827182863722e-01,2.808498764038085938e+01
1.002042863171334064e+00,2.799655342102050781e+01
1.145191843624381756e+00,3.060960960388183594e+01
1.288340824077429447e+00,2.813299179077148438e+01
1.431489804530477139e+00,2.872210884094238281e+01
1.574638784983524831e+00,3.059251594543457031e+01
1.717787765436572744e+00,2.874204826354980469e+01
1.860936745889620436e+00,2.952333831787109375e+01
2.004085726342668128e+00,3.023960494995117188e+01
2.147234706795715820e+00,2.628632354736328125e+01
2.290383687248763511e+00,2.584335517883300781e+01
2.433532667701811203e+00,2.592246818542480469e+01
2.576681648154858895e+00,2.575176048278808594e+01
2.719830628607906586e+00,2.556209754943847656e+01
2.862979609060954278e+00,2.789969253540039062e+01
3.006128589514001970e+00,2.913392257690429688e+01
3.149277569967049661e+00,2.732803535461425781e+01
3.292426550420097353e+00,2.597282791137695312e+01
3.435575530873145489e+00,2.724483489990234375e+01
3.578724511326193181e+00,3.055077362060546875e+01
3.721873491779240872e+00,2.906216430664062500e+01
3.865022472232288564e+00,3.271182632446289062e+01
4.008171452685336256e+00,3.823607635498046875e+01
4.151320433138383947e+00,3.329919433593750000e+01
4.294469413591431639e+00,2.944968986511230469e+01
4.437618394044479331e+00,3.289523696899414062e+01
4.580767374497527022e+00,3.490776062011718750e+01
4.723916354950574714e+00,3.616992568969726562e+01
4.867065335403622406e+00,3.179917716979980469e+01
5.010214315856670098e+00,3.388836288452148438e+01
5.153363296309717789e+00,3.501787948608398438e+01
5.296512276762765481e+00,3.653900527954101562e+01
5.439661257215813173e+00,3.631969451904296875e+01
5.582810237668860864e+00,3.470730972290039062e+01
5.725959218121908556e+00,3.781995010375976562e+01
5.869108198574956248e+00,3.247790145874023438e+01
6.012257179028003939e+00,3.284421920776367188e+01
6.155406159481051631e+00,3.684924316406250000e+01
6.298555139934099323e+00,2.998475456237792969e+01
6.441704120387147015e+00,2.846704673767089844e+01
6.584853100840194706e+00,3.258972549438476562e+01
6.728002081293242398e+00,3.223770141601562500e+01
6.871151061746290978e+00,3.106774139404296875e+01
7.014300042199338669e+00,3.276858901977539062e+01
7.157449022652386361e+00,3.452779769897460938e+01
7.300598003105434053e+00,3.297515106201171875e+01
7.443746983558481745e+00,3.446178436279296875e+01
7.586895964011529436e+00,3.891327285766601562e+01
7.730044944464577128e+00,3.363785934448242188e+01
7.873193924917624820e+00,3.283266830444335938e+01
8.016342905370672511e+00,3.385203552246093750e+01
8.159491885823719315e+00,3.150355339050292969e+01
8.302640866276767895e+00,3.343370819091796875e+01
8.445789846729814698e+00,3.386671066284179688e+01
8.588938827182863278e+00,3.590791702270507812e+01
8.732087807635910082e+00,3.996449661254882812e+01
8.875236788088958662e+00,4.213071060180664062e+01
9.018385768542005465e+00,4.276695632934570312e+01
9.161534748995054045e+00,5.002536773681640625e+01
9.304683729448102625e+00,6.510963439941406250e+01
9.447832709901149428e+00,7.989693450927734375e+01
9.590981690354198008e+00,9.193045806884765625e+01
9.734130670807244812e+00,1.229330062866210938e+02
9.877279651260293392e+00,1.050797958374023438e+02
1.002042863171334020e+01,1.039704818725585938e+02
1.016357761216638877e+01,9.592544555664062500e+01
1.030672659261943558e+01,9.827521514892578125e+01
1.044987557307248416e+01,9.924800109863281250e+01
1.059302455352553096e+01,1.004732131958007812e+02
1.073617353397857954e+01,9.474535369873046875e+01
1.087932251443162635e+01,8.950788879394531250e+01
1.102247149488467493e+01,8.971913146972656250e+01
1.116562047533772173e+01,7.722431182861328125e+01
1.130876945579077031e+01,7.307186126708984375e+01
1.145191843624381711e+01,6.999993133544921875e+01
1.159506741669686569e+01,7.328193664550781250e+01
1.173821639714991250e+01,5.791717147827148438e+01
1.188136537760296108e+01,6.204695510864257812e+01
1.202451435805600788e+01,5.073441696166992188e+01
1.216766333850905646e+01,4.953902435302734375e+01
1.231081231896210326e+01,5.397545242309570312e+01
1.245396129941515184e+01,4.993402862548828125e+01
1.259711027986819865e+01,4.976521301269531250e+01
1.274025926032124723e+01,4.214359283447265625e+01
1.288340824077429403e+01,4.987001037597656250e+01
1.302655722122734261e+01,4.916836166381835938e+01
1.316970620168038941e+01,4.388670349121093750e+01
1.331285518213343799e+01,3.974836349487304688e+01
1.345600416258648480e+01,4.079775619506835938e+01
1.359915314303953338e+01,4.217952346801757812e+01
1.374230212349258196e+01,4.155743408203125000e+01
1.388545110394562876e+01,4.418265533447265625e+01
1.402860008439867734e+01,4.412695312500000000e+01
1.417174906485172414e+01,5.403405380249023438e+01
1.431489804530477272e+01,5.845577621459960938e+01
1.445804702575781953e+01,6.679410552978515625e+01
1.460119600621086811e+01,7.369609069824218750e+01
1.474434498666391491e+01,7.285702514648437500e+01
1.488749396711696349e+01,8.816880798339843750e+01
1.503064294757001029e+01,8.540274810791015625e+01
1.517379192802305887e+01,8.169826507568359375e+01
1.531694090847610568e+01,6.066099548339843750e+01
1.546008988892915426e+01,6.231562423706054688e+01
1.560323886938220106e+01,5.639152908325195312e+01
1.574638784983524964e+01,6.736524963378906250e+01
1.588953683028829644e+01,5.395935821533203125e+01
1.603268581074134502e+01,5.406900787353515625e+01
1.617583479119439360e+01,6.143261718750000000e+01
1.631898377164743863e+01,5.655195617675781250e+01
1.646213275210048721e+01,6.531708526611328125e+01
1.660528173255353579e+01,6.035691070556640625e+01
1.674843071300658437e+01,6.441351318359375000e+01
1.689157969345962940e+01,5.953163146972656250e+01
1.703472867391267798e+01,4.730272674560546875e+01
1.717787765436572656e+01,5.090655899047851562e+01
1.732102663481877514e+01,4.475151443481445312e+01
1.746417561527182016e+01,3.847339630126953125e+01
1.760732459572486874e+01,3.570969772338867188e+01
1.775047357617791732e+01,3.129364776611328125e+01
1.789362255663096590e+01,2.906348419189453125e+01
1.803677153708401093e+01,2.847804450988769531e+01
1.817992051753705951e+01,2.815620422363281250e+01
1.832306949799010809e+01,2.676169013977050781e+01
1.846621847844315667e+01,2.728646850585937500e+01
1.860936745889620525e+01,3.109774398803710938e+01
1.875251643934925028e+01,2.864974784851074219e+01
1.889566541980229886e+01,2.794019699096679688e+01
1.903881440025534744e+01,3.063591957092285156e+01
1.918196338070839602e+01,3.282713699340820312e+01
1.932511236116144104e+01,3.563994979858398438e+01
1.946826134161448962e+01,3.048760414123535156e+01
1.961141032206753820e+01,2.843328666687011719e+01
1.975455930252058678e+01,3.116316604614257812e+01
1.989770828297363181e+01,3.270891571044921875e+01
2.004085726342668039e+01,3.168835830688476562e+01
2.018400624387972897e+01,2.733892440795898438e+01
2.032715522433277755e+01,2.987822341918945312e+01
2.047030420478582258e+01,3.507054138183593750e+01
2.061345318523887116e+01,2.937641334533691406e+01
2.075660216569191974e+01,2.782430267333984375e+01
2.089975114614496832e+01,3.130640602111816406e+01
2.104290012659801334e+01,2.885297393798828125e+01
2.118604910705106192e+01,3.057509422302246094e+01
2.132919808750411050e+01,3.355359649658203125e+01
2.147234706795715908e+01,3.269291687011718750e+01
2.161549604841020411e+01,3.419700622558593750e+01
2.175864502886325269e+01,3.493630981445312500e+01
2.190179400931630127e+01,3.098051452636718750e+01
2.204494298976934985e+01,2.984576034545898438e+01
2.218809197022239488e+01,2.846536636352539062e+01
2.233124095067544346e+01,2.882044029235839844e+01
2.247438993112849204e+01,2.845401763916015625e+01
2.261753891158154062e+01,3.027390670776367188e+01
2.276068789203458564e+01,2.830641746520996094e+01
2.290383687248763422e+01,2.708568382263183594e+01
2.304698585294068280e+01,2.663004493713378906e+01
2.319013483339373138e+01,2.574925041198730469e+01
2.333328381384677996e+01,2.604107856750488281e+01
2.347643279429982499e+01,2.471783256530761719e+01
2.361958177475287357e+01,2.672350502014160156e+01
2.376273075520592215e+01,2.480620574951171875e+01
2.390587973565897073e+01,2.212859153747558594e+01
2.404902871611201576e+01,2.544412994384765625e+01
2.419217769656506434e+01,2.438583564758300781e+01
2.433532667701811292e+01,2.306602287292480469e+01
2.447847565747116150e+01,2.325741386413574219e+01
2.462162463792420652e+01,2.973260498046875000e+01
2.476477361837725510e+01,2.941774559020996094e+01
2.490792259883030368e+01,2.426675415039062500e+01
2.505107157928335226e+01,2.781730461120605469e+01
2.519422055973639729e+01,2.769087982177734375e+01
2.533736954018944587e+01,2.596013832092285156e+01
2.548051852064249445e+01,2.660898208618164062e+01
2.562366750109554303e+01,2.715038871765136719e+01
2.576681648154858806e+01,2.488523864746093750e+01
2.590996546200163664e+01,2.871475791931152344e+01
2.605311444245468522e+01,2.996169281005859375e+01
2.619626342290773380e+01,2.811879539489746094e+01
2.633941240336077882e+01,2.843479347229003906e+01
2.648256138381382740e+01,2.476213073730468750e+01
2.662571036426687598e+01,2.245979499816894531e+01
2.676885934471992456e+01,2.475033378601074219e+01
2.691200832517296959e+01,2.780161285400390625e+01
2.705515730562601817e+01,2.613191413879394531e+01
2.719830628607906675e+01,2.508790016174316406e+01
2.734145526653211533e+01,2.690762710571289062e+01
2.748460424698516391e+01,2.428665733337402344e+01
2.762775322743820894e+01,2.490302658081054688e+01
2.777090220789125752e+01,2.892614364624023438e+01
2.791405118834430610e+01,2.845163345336914062e+01
2.805720016879735468e+01,2.532524108886718750e+01
2.820034914925039971e+01,2.739281845092773438e+01
2.834349812970344828e+01,2.915588760375976562e+01
2.848664711015649686e+01,3.020695495605468750e+01
2.862979609060954544e+01,3.093188858032226562e+01
2.877294507106259047e+01,3.148888206481933594e+01
2.891609405151563905e+01,3.255202102661132812e+01
2.905924303196868763e+01,3.123682403564453125e+01
2.920239201242173621e+01,3.022693061828613281e+01
2.934554099287478124e+01,2.901528549194335938e+01
2.948868997332782982e+01,3.102809906005859375e+01
2.963183895378087840e+01,2.913409423828125000e+01
2.977498793423392698e+01,2.532378578186035156e+01
2.991813691468697201e+01,2.799907684326171875e+01
3.006128589514002059e+01,3.260376358032226562e+01
3.020443487559306917e+01,3.890565490722656250e+01
3.034758385604611775e+01,3.502360153198242188e+01
3.049073283649916277e+01,2.749089622497558594e+01
3.063388181695221135e+01,2.482426071166992188e+01
3.077703079740525993e+01,2.528818511962890625e+01
3.092017977785830851e+01,2.794109344482421875e+01
3.106332875831135354e+01,2.782548141479492188e+01
3.120647773876440212e+01,2.659361076354980469e+01
3.134962671921745070e+01,2.779226493835449219e+01
3.149277569967049928e+01,2.772732353210449219e+01
3.163592468012354431e+01,2.851718330383300781e+01
3.177907366057659289e+01,2.694658660888671875e+01
3.192222264102964147e+01,2.729966735839843750e+01
3.206537162148269005e+01,2.709336090087890625e+01
3.220852060193573863e+01,2.621314430236816406e+01
3.235166958238878721e+01,2.263642692565917969e+01
3.249481856284183579e+01,2.300158691406250000e+01
3.263796754329487726e+01,2.478804588317871094e+01
3.278111652374792584e+01,2.669518852233886719e+01
3.292426550420097442e+01,2.795252037048339844e+01
3.306741448465402300e+01,2.914202880859375000e+01
