频率(Hz),功率谱密度
0.000000000000000000e+00,6.022840023040771484e+00
1.715765471231786021e-01,2.970797729492187500e+01
3.431530942463572043e-01,2.170902442932128906e+01
5.147296413695358064e-01,1.564297771453857422e+01
6.863061884927144085e-01,1.482919025421142578e+01
8.578827356158930106e-01,1.616439247131347656e+01
1.029459282739071613e+00,1.663829994201660156e+01
1.201035829862250104e+00,1.621126174926757812e+01
1.372612376985428817e+00,1.242114353179931641e+01
1.544188924108607530e+00,1.336699867248535156e+01
1.715765471231786021e+00,1.556505775451660156e+01
1.887342018354964512e+00,1.657518577575683594e+01
2.058918565478143226e+00,1.735646629333496094e+01
2.230495112601321939e+00,1.555613422393798828e+01
2.402071659724500208e+00,1.580378437042236328e+01
2.573648206847678921e+00,1.416641330718994141e+01
2.745224753970857634e+00,1.505945873260498047e+01
2.916801301094036347e+00,1.591929340362548828e+01
3.088377848217215060e+00,1.508770656585693359e+01
3.259954395340393329e+00,1.370993900299072266e+01
3.431530942463572043e+00,1.575270652770996094e+01
3.603107489586750756e+00,1.718670082092285156e+01
3.774684036709929025e+00,1.816940879821777344e+01
3.946260583833107738e+00,1.735817146301269531e+01
4.117837130956286451e+00,1.809974098205566406e+01
4.289413678079465164e+00,1.818340682983398438e+01
4.460990225202643877e+00,1.934551048278808594e+01
4.632566772325822591e+00,2.045702552795410156e+01
4.804143319449000415e+00,1.938557624816894531e+01
4.975719866572179129e+00,1.882735252380371094e+01
5.147296413695357842e+00,1.928592300415039062e+01
5.318872960818536555e+00,2.118723869323730469e+01
5.490449507941715268e+00,1.963923645019531250e+01
5.662026055064893981e+00,1.690267372131347656e+01
5.833602602188072694e+00,1.578953552246093750e+01
6.005179149311251408e+00,1.681189155578613281e+01
6.176755696434430121e+00,2.455405426025390625e+01
6.348332243557607946e+00,2.036978530883789062e+01
6.519908790680786659e+00,1.672455215454101562e+01
6.691485337803965372e+00,2.683032035827636719e+01
6.863061884927144085e+00,3.250895309448242188e+01
7.034638432050322798e+00,3.671891021728515625e+01
7.206214979173501511e+00,4.671508407592773438e+01
7.377791526296680225e+00,2.125485992431640625e+02
7.549368073419858050e+00,5.524070434570312500e+02
7.720944620543036763e+00,4.030000915527343750e+02
7.892521167666215476e+00,1.034277343750000000e+02
8.064097714789394189e+00,3.539318847656250000e+01
8.235674261912572902e+00,3.343333053588867188e+01
8.407250809035751615e+00,3.044748878479003906e+01
8.578827356158930328e+00,2.289544486999511719e+01
8.750403903282109042e+00,2.154350852966308594e+01
8.921980450405287755e+00,2.497978019714355469e+01
9.093556997528466468e+00,2.854771041870117188e+01
9.265133544651645181e+00,2.523112487792968750e+01
9.436710091774823894e+00,2.405493164062500000e+01
9.608286638898000831e+00,2.836341476440429688e+01
9.779863186021179544e+00,2.126948738098144531e+01
9.951439733144358257e+00,1.432249736785888672e+01
1.012301628026753697e+01,1.538835620880126953e+01
1.029459282739071568e+01,1.846504783630371094e+01
1.046616937451389440e+01,1.904195404052734375e+01
1.063774592163707311e+01,1.657358741760253906e+01
1.080932246876025182e+01,1.788395500183105469e+01
1.098089901588343054e+01,2.251598739624023438e+01
1.115247556300660925e+01,2.695191383361816406e+01
1.132405211012978796e+01,2.905132865905761719e+01
1.149562865725296668e+01,2.504235076904296875e+01
1.166720520437614539e+01,2.293431091308593750e+01
1.183878175149932410e+01,2.345808601379394531e+01
1.201035829862250282e+01,2.246557617187500000e+01
1.218193484574568153e+01,1.888409805297851562e+01
1.235351139286886024e+01,2.652908897399902344e+01
1.252508793999203718e+01,3.444115066528320312e+01
1.269666448711521589e+01,2.082493400573730469e+01
1.286824103423839460e+01,1.885038566589355469e+01
1.303981758136157332e+01,1.979297828674316406e+01
1.321139412848475203e+01,1.555373954772949219e+01
1.338297067560793074e+01,1.722103691101074219e+01
1.355454722273110946e+01,1.788282775878906250e+01
1.372612376985428817e+01,1.806515121459960938e+01
1.389770031697746688e+01,1.853214836120605469e+01
1.406927686410064560e+01,2.043218040466308594e+01
1.424085341122382431e+01,2.018118286132812500e+01
1.441242995834700302e+01,2.290401840209960938e+01
1.458400650547018174e+01,2.421231079101562500e+01
1.475558305259336045e+01,2.026892089843750000e+01
1.492715959971653916e+01,4.151125717163085938e+01
1.509873614683971610e+01,6.393603134155273438e+01
1.527031269396289481e+01,6.196955490112304688e+01
