频率(Hz),功率谱密度
0.000000000000000000e+00,4.872394561767578125e+01
1.930633806284462739e-01,1.633952178955078125e+02
3.861267612568925478e-01,8.642082977294921875e+01
5.791901418853387939e-01,5.606383895874023438e+01
7.722535225137850956e-01,4.991767883300781250e+01
9.653169031422313973e-01,4.899340820312500000e+01
1.158380283770677588e+00,5.328796768188476562e+01
1.351443664399123890e+00,5.749000167846679688e+01
1.544507045027570191e+00,5.411056518554687500e+01
1.737570425656016493e+00,4.793518447875976562e+01
1.930633806284462795e+00,4.644379806518554688e+01
2.123697186912909096e+00,4.800996398925781250e+01
2.316760567541355176e+00,5.748622131347656250e+01
2.509823948169801699e+00,6.626815795898437500e+01
2.702887328798247779e+00,5.241205215454101562e+01
2.895950709426694303e+00,5.296037673950195312e+01
3.089014090055140382e+00,6.163190460205078125e+01
3.282077470683586462e+00,5.601388549804687500e+01
3.475140851312032986e+00,5.649945068359375000e+01
3.668204231940479065e+00,5.132167053222656250e+01
3.861267612568925589e+00,5.822998428344726562e+01
4.054330993197371669e+00,6.368997573852539062e+01
4.247394373825818192e+00,6.230577468872070312e+01
4.440457754454264716e+00,6.773462677001953125e+01
4.633521135082710352e+00,8.968595123291015625e+01
4.826584515711156875e+00,1.304612274169921875e+02
5.019647896339603399e+00,1.986350402832031250e+02
5.212711276968049035e+00,2.427159729003906250e+02
5.405774657596495558e+00,2.069039306640625000e+02
5.598838038224942082e+00,9.979325866699218750e+01
5.791901418853388606e+00,6.944188690185546875e+01
5.984964799481834241e+00,1.436624603271484375e+02
6.178028180110280765e+00,2.356583251953125000e+02
6.371091560738727289e+00,7.472873687744140625e+01
6.564154941367172924e+00,4.449102020263671875e+01
6.757218321995619448e+00,5.251781845092773438e+01
6.950281702624065971e+00,5.343500137329101562e+01
7.143345083252512495e+00,4.436928558349609375e+01
7.336408463880958131e+00,4.104591369628906250e+01
7.529471844509404654e+00,4.538709640502929688e+01
7.722535225137851178e+00,4.716909790039062500e+01
7.915598605766296814e+00,4.940574645996093750e+01
8.108661986394743337e+00,5.359111404418945312e+01
8.301725367023189861e+00,5.180285644531250000e+01
8.494788747651636385e+00,4.861212921142578125e+01
8.687852128280082908e+00,4.283703231811523438e+01
8.880915508908529432e+00,4.518514633178710938e+01
9.073978889536974179e+00,5.178679656982421875e+01
9.267042270165420703e+00,4.621614456176757812e+01
9.460105650793867227e+00,5.641941452026367188e+01
9.653169031422313751e+00,6.143732070922851562e+01
9.846232412050760274e+00,7.081365203857421875e+01
1.003929579267920680e+01,7.761142730712890625e+01
1.023235917330765332e+01,8.226759338378906250e+01
1.042542255393609807e+01,1.018548278808593750e+02
1.061848593456454459e+01,9.636333465576171875e+01
1.081154931519299112e+01,7.265377044677734375e+01
1.100461269582143764e+01,5.786054992675781250e+01
1.119767607644988416e+01,4.175076675415039062e+01
1.139073945707833069e+01,4.877118301391601562e+01
1.158380283770677721e+01,5.149747085571289062e+01
1.177686621833522196e+01,4.477252197265625000e+01
1.196992959896366848e+01,4.319697570800781250e+01
1.216299297959211501e+01,7.654279327392578125e+01
1.235605636022056153e+01,1.051878585815429688e+02
1.254911974084900805e+01,5.162697601318359375e+01
1.274218312147745458e+01,3.416870117187500000e+01
1.293524650210590110e+01,3.622237014770507812e+01
1.312830988273434585e+01,3.517531204223632812e+01
1.332137326336279237e+01,3.224060058593750000e+01
1.351443664399123890e+01,3.259197616577148438e+01
1.370750002461968542e+01,3.178126525878906250e+01
1.390056340524813194e+01,3.364033126831054688e+01
1.409362678587657847e+01,3.178532600402832031e+01
1.428669016650502499e+01,3.142653656005859375e+01
