频率(Hz),功率谱密度
0.000000000000000000e+00,3.535658645629882812e+01
1.060307448732121377e-01,1.692368011474609375e+02
2.120614897464242754e-01,5.980828857421875000e+01
3.180922346196364270e-01,3.241759490966796875e+01
4.241229794928485508e-01,2.599534797668457031e+01
5.301537243660606746e-01,2.804677772521972656e+01
6.361844692392728540e-01,2.670809364318847656e+01
7.422152141124849223e-01,2.651034355163574219e+01
8.482459589856971016e-01,2.338522911071777344e+01
9.542767038589092810e-01,2.267987823486328125e+01
1.060307448732121349e+00,2.451136589050292969e+01
1.166338193605333418e+00,2.199186325073242188e+01
1.272368938478545708e+00,2.126579856872558594e+01
1.378399683351757776e+00,2.229356002807617188e+01
1.484430428224969845e+00,2.032739448547363281e+01
1.590461173098182135e+00,2.177544021606445312e+01
1.696491917971394203e+00,1.937782859802246094e+01
1.802522662844606272e+00,1.853624916076660156e+01
1.908553407717818562e+00,1.832980537414550781e+01
2.014584152591030630e+00,2.121719169616699219e+01
2.120614897464242699e+00,2.109116172790527344e+01
2.226645642337454767e+00,2.393671417236328125e+01
2.332676387210666835e+00,2.275740623474121094e+01
2.438707132083879348e+00,2.106292152404785156e+01
2.544737876957091416e+00,2.040119934082031250e+01
2.650768621830303484e+00,2.117832565307617188e+01
2.756799366703515553e+00,2.242400360107421875e+01
2.862830111576727621e+00,2.091284370422363281e+01
2.968860856449939689e+00,2.331346321105957031e+01
3.074891601323152202e+00,2.638743209838867188e+01
3.180922346196364270e+00,2.407335281372070312e+01
3.286953091069576338e+00,2.115264320373535156e+01
3.392983835942788406e+00,2.081272315979003906e+01
3.499014580816000475e+00,2.215559959411621094e+01
3.605045325689212543e+00,2.152758407592773438e+01
3.711076070562424611e+00,2.118529129028320312e+01
3.817106815435637124e+00,2.647701072692871094e+01
3.923137560308849192e+00,2.172244453430175781e+01
4.029168305182061260e+00,2.234872817993164062e+01
4.135199050055273773e+00,2.408963775634765625e+01
4.241229794928485397e+00,2.491029167175292969e+01
4.347260539801697909e+00,2.459216499328613281e+01
4.453291284674909534e+00,2.497025108337402344e+01
4.559322029548122046e+00,2.476408386230468750e+01
4.665352774421333670e+00,2.523700141906738281e+01
4.771383519294546183e+00,2.736675834655761719e+01
4.877414264167758695e+00,2.602079010009765625e+01
4.983445009040970319e+00,2.665889167785644531e+01
