频率(Hz),功率谱密度
0.000000000000000000e+00,2.333239364624023438e+01
1.544037636446817241e-01,1.943551177978515625e+02
3.088075272893634482e-01,1.151803359985351562e+02
4.632112909340451723e-01,8.020122528076171875e+01
6.176150545787268964e-01,7.344867706298828125e+01
7.720188182234086760e-01,7.043688964843750000e+01
9.264225818680903446e-01,6.746649932861328125e+01
1.080826345512772013e+00,6.947419738769531250e+01
1.235230109157453793e+00,7.283557891845703125e+01
1.389633872802135572e+00,6.764221954345703125e+01
1.544037636446817352e+00,6.573832702636718750e+01
1.698441400091498910e+00,5.164235305786132812e+01
1.852845163736180689e+00,5.673750305175781250e+01
2.007248927380862469e+00,7.054216003417968750e+01
2.161652691025544026e+00,7.213769531250000000e+01
2.316056454670226028e+00,6.986073303222656250e+01
2.470460218314907586e+00,7.032454681396484375e+01
2.624863981959589143e+00,7.534594726562500000e+01
2.779267745604271145e+00,7.447989654541015625e+01
2.933671509248952702e+00,8.304631805419921875e+01
3.088075272893634704e+00,9.164150238037109375e+01
3.242479036538316262e+00,9.606015014648437500e+01
3.396882800182997819e+00,1.103433990478515625e+02
3.551286563827679821e+00,1.559526519775390625e+02
3.705690327472361378e+00,2.334772644042968750e+02
3.860094091117042936e+00,3.409791870117187500e+02
4.014497854761724938e+00,4.833258361816406250e+02
4.168901618406406939e+00,4.026980590820312500e+02
4.323305382051088053e+00,2.284336853027343750e+02
4.477709145695770054e+00,1.423914184570312500e+02
4.632112909340452056e+00,1.224884567260742188e+02
4.786516672985133170e+00,1.169580154418945312e+02
4.940920436629815171e+00,7.743848419189453125e+01
5.095324200274497173e+00,8.894896697998046875e+01
5.249727963919178286e+00,1.256974029541015625e+02
5.404131727563860288e+00,3.125915832519531250e+02
5.558535491208542290e+00,2.318034362792968750e+02
5.712939254853223403e+00,8.769859313964843750e+01
5.867343018497905405e+00,7.341855621337890625e+01
6.021746782142587406e+00,7.375341796875000000e+01
6.176150545787269408e+00,7.442864227294921875e+01
6.330554309431950522e+00,7.700312805175781250e+01
6.484958073076632523e+00,8.013977813720703125e+01
6.639361836721314525e+00,7.220880889892578125e+01
6.793765600365995638e+00,6.786124420166015625e+01
6.948169364010677640e+00,8.071726226806640625e+01
7.102573127655359642e+00,9.233403778076171875e+01
7.256976891300040755e+00,9.008327484130859375e+01
7.411380654944722757e+00,9.952488708496093750e+01
7.565784418589404758e+00,9.891950988769531250e+01
7.720188182234085872e+00,1.207422561645507812e+02
7.874591945878767874e+00,1.364606628417968750e+02
8.028995709523449875e+00,1.325022430419921875e+02
8.183399473168131877e+00,1.328138580322265625e+02
8.337803236812813878e+00,1.283842773437500000e+02
8.492207000457494104e+00,1.049639739990234375e+02
8.646610764102176105e+00,8.869771575927734375e+01
8.801014527746858107e+00,8.504487609863281250e+01
8.955418291391540109e+00,7.895066833496093750e+01
9.109822055036222110e+00,6.714567565917968750e+01
9.264225818680904112e+00,6.740989685058593750e+01
9.418629582325584337e+00,7.708619689941406250e+01
9.573033345970266339e+00,6.975820922851562500e+01
9.727437109614948341e+00,5.637851715087890625e+01
9.881840873259630342e+00,5.973076629638671875e+01
1.003624463690431234e+01,6.211311340332031250e+01
1.019064840054899435e+01,6.152368545532226562e+01
1.034505216419367635e+01,5.786045455932617188e+01
1.049945592783835657e+01,6.115786743164062500e+01
1.065385969148303857e+01,7.725717163085937500e+01
1.080826345512772058e+01,9.688532257080078125e+01
1.096266721877240258e+01,1.220252456665039062e+02
1.111707098241708458e+01,9.489171600341796875e+01
1.127147474606176658e+01,7.944625091552734375e+01
1.142587850970644681e+01,7.212093353271484375e+01
1.158028227335112881e+01,7.454425811767578125e+01
1.173468603699581081e+01,7.180596160888671875e+01
1.188908980064049281e+01,6.598459625244140625e+01
1.204349356428517481e+01,6.928972625732421875e+01
1.219789732792985681e+01,7.241841888427734375e+01
1.235230109157453882e+01,6.353280258178710938e+01
1.250670485521921904e+01,6.019237899780273438e+01
1.266110861886390104e+01,6.655976104736328125e+01
1.281551238250858304e+01,7.239717864990234375e+01
1.296991614615326505e+01,6.280379486083984375e+01
1.312431990979794705e+01,5.473268508911132812e+01
1.327872367344262905e+01,5.092291641235351562e+01
1.343312743708730927e+01,5.342744064331054688e+01
1.358753120073199128e+01,5.025408172607421875e+01
1.374193496437667328e+01,4.216476440429687500e+01
1.389633872802135528e+01,4.016126632690429688e+01
1.405074249166603728e+01,4.503757858276367188e+01
1.420514625531071928e+01,4.242925643920898438e+01
1.435955001895539951e+01,3.730741119384765625e+01
1.451395378260008151e+01,3.443529510498046875e+01
1.466835754624476351e+01,3.641619110107421875e+01
1.482276130988944551e+01,3.716300201416015625e+01
1.497716507353412752e+01,3.710408020019531250e+01
1.513156883717880952e+01,3.690349578857421875e+01
1.528597260082349152e+01,3.793066024780273438e+01
1.544037636446817174e+01,3.991486740112304688e+01
1.559478012811285375e+01,3.866956710815429688e+01
1.574918389175753575e+01,3.624643325805664062e+01
1.590358765540221775e+01,3.720845413208007812e+01
1.605799141904689975e+01,3.903955841064453125e+01
1.621239518269157998e+01,4.069659042358398438e+01
1.636679894633626375e+01,5.250802612304687500e+01
1.652120270998094398e+01,5.671846389770507812e+01
1.667560647362562776e+01,4.352000808715820312e+01
1.683001023727030798e+01,3.721976470947265625e+01
1.698441400091498821e+01,4.102009582519531250e+01
1.713881776455967199e+01,3.875861740112304688e+01
1.729322152820435221e+01,3.262911605834960938e+01
1.744762529184903599e+01,2.991429138183593750e+01
1.760202905549371621e+01,2.751391983032226562e+01
1.775643281913839999e+01,2.655593872070312500e+01
1.791083658278308022e+01,2.903212356567382812e+01
1.806524034642776044e+01,3.027911186218261719e+01
1.821964411007244422e+01,2.758845710754394531e+01
1.837404787371712445e+01,2.392577171325683594e+01
1.852845163736180822e+01,2.361932182312011719e+01
1.868285540100648845e+01,2.512889862060546875e+01
1.883725916465116867e+01,2.336085319519042969e+01
1.899166292829585245e+01,2.516463088989257812e+01
1.914606669194053268e+01,2.354549789428710938e+01
1.930047045558521646e+01,2.257514190673828125e+01
1.945487421922989668e+01,2.438740158081054688e+01
1.960927798287458046e+01,2.605909156799316406e+01
1.976368174651926068e+01,2.419634819030761719e+01
1.991808551016394091e+01,2.257237052917480469e+01
2.007248927380862469e+01,2.432120323181152344e+01
2.022689303745330491e+01,2.201063728332519531e+01
2.038129680109798869e+01,2.140619087219238281e+01
2.053570056474266892e+01,2.238020706176757812e+01
2.069010432838735269e+01,2.158681106567382812e+01
2.084450809203203292e+01,2.069804763793945312e+01
2.099891185567671315e+01,2.086246871948242188e+01
2.115331561932139692e+01,2.181457138061523438e+01
2.130771938296607715e+01,2.352365303039550781e+01
2.146212314661076093e+01,2.439348411560058594e+01
2.161652691025544115e+01,2.123984146118164062e+01
2.177093067390012138e+01,2.130995559692382812e+01
2.192533443754480516e+01,2.438987541198730469e+01
2.207973820118948538e+01,2.332822418212890625e+01
2.223414196483416916e+01,2.082242012023925781e+01
2.238854572847884938e+01,2.027453994750976562e+01
2.254294949212353316e+01,1.915056991577148438e+01
2.269735325576821339e+01,1.826910781860351562e+01
2.285175701941289361e+01,1.724685859680175781e+01
2.300616078305757739e+01,1.453507232666015625e+01
2.316056454670225762e+01,1.409471797943115234e+01
2.331496831034694139e+01,1.507941722869873047e+01
2.346937207399162162e+01,1.382896137237548828e+01
2.362377583763630540e+01,1.388895511627197266e+01
2.377817960128098562e+01,1.460776996612548828e+01
2.393258336492566585e+01,1.376359462738037109e+01
2.408698712857034963e+01,1.268988800048828125e+01
2.424139089221502985e+01,1.344410228729248047e+01
2.439579465585971363e+01,1.261827659606933594e+01
2.455019841950439385e+01,1.204556846618652344e+01
2.470460218314907763e+01,1.273088264465332031e+01
2.485900594679375786e+01,1.366227149963378906e+01
2.501340971043843808e+01,1.328983688354492188e+01
2.516781347408312186e+01,1.296361351013183594e+01
2.532221723772780209e+01,1.316259193420410156e+01
2.547662100137248586e+01,1.174545478820800781e+01
2.563102476501716609e+01,1.141681194305419922e+01
2.578542852866184631e+01,1.222238540649414062e+01
2.593983229230653009e+01,1.189073371887207031e+01
2.609423605595121032e+01,1.007647800445556641e+01
2.624863981959589410e+01,1.102064704895019531e+01
2.640304358324057432e+01,1.090681552886962891e+01
2.655744734688525810e+01,1.146198463439941406e+01
2.671185111052993832e+01,1.122246932983398438e+01
2.686625487417461855e+01,1.163088703155517578e+01
2.702065863781930233e+01,1.380431747436523438e+01
2.717506240146398255e+01,1.348919486999511719e+01
2.732946616510866633e+01,1.549216270446777344e+01
2.748386992875334656e+01,1.539203834533691406e+01
2.763827369239803033e+01,1.078209972381591797e+01
2.779267745604271056e+01,1.154218673706054688e+01
2.794708121968739079e+01,1.059288978576660156e+01
2.810148498333207456e+01,1.145654201507568359e+01
2.825588874697675479e+01,1.199053478240966797e+01
2.841029251062143857e+01,1.136605930328369141e+01
2.856469627426611879e+01,9.022499084472656250e+00
2.871910003791079902e+01,1.049566173553466797e+01
2.887350380155548280e+01,1.488527393341064453e+01
2.902790756520016302e+01,1.256689739227294922e+01
2.918231132884484680e+01,1.003278923034667969e+01
2.933671509248952702e+01,1.088567638397216797e+01
2.949111885613421080e+01,9.423077583312988281e+00
2.964552261977889103e+01,1.079660415649414062e+01
2.979992638342357125e+01,9.530928611755371094e+00
2.995433014706825503e+01,1.132651233673095703e+01
3.010873391071293526e+01,1.226895999908447266e+01
3.026313767435761903e+01,1.104751110076904297e+01
3.041754143800229926e+01,9.552471160888671875e+00
3.057194520164698304e+01,1.052676296234130859e+01
3.072634896529166326e+01,1.130631256103515625e+01
3.088075272893634349e+01,9.802167892456054688e+00
3.103515649258102727e+01,7.608551502227783203e+00
3.118956025622570749e+01,7.050646781921386719e+00
3.134396401987039127e+01,6.242293357849121094e+00
3.149836778351507149e+01,5.718797206878662109e+00
3.165277154715975172e+01,7.772067546844482422e+00
3.180717531080443550e+01,8.185783386230468750e+00
3.196157907444911572e+01,6.748483657836914062e+00
3.211598283809379950e+01,6.887099266052246094e+00
3.227038660173847973e+01,5.584322452545166016e+00
3.242479036538315995e+01,5.205717563629150391e+00
3.257919412902784728e+01,4.743768692016601562e+00
3.273359789267252751e+01,4.240898609161376953e+00
3.288800165631720773e+01,4.553010463714599609e+00
3.304240541996188796e+01,5.875198364257812500e+00
3.319680918360656818e+01,5.384146690368652344e+00
3.335121294725125551e+01,7.825804233551025391e+00
3.350561671089593574e+01,7.012966632843017578e+00
3.366002047454061596e+01,5.100364685058593750e+00
3.381442423818529619e+01,5.133876800537109375e+00
3.396882800182997642e+01,5.383486747741699219e+00
3.412323176547466375e+01,4.880591392517089844e+00
3.427763552911934397e+01,5.473433971405029297e+00
3.443203929276402420e+01,4.947278022766113281e+00
3.458644305640870442e+01,4.292034626007080078e+00
3.474084682005338465e+01,4.370480060577392578e+00
3.489525058369807198e+01,4.539828300476074219e+00
3.504965434734275220e+01,4.655379772186279297e+00
3.520405811098743243e+01,5.067989349365234375e+00
3.535846187463211265e+01,4.986172199249267578e+00
3.551286563827679998e+01,4.159411430358886719e+00
3.566726940192148021e+01,4.238689899444580078e+00
3.582167316556616043e+01,4.770477771759033203e+00
3.597607692921084066e+01,5.440926074981689453e+00
3.613048069285552089e+01,4.733720302581787109e+00
3.628488445650020822e+01,3.659342527389526367e+00
3.643928822014488844e+01,3.784696817398071289e+00
3.659369198378956867e+01,4.364411354064941406e+00
3.674809574743424889e+01,3.978388547897338867e+00
3.690249951107892912e+01,3.603458404541015625e+00
3.705690327472361645e+01,4.614875793457031250e+00
3.721130703836829667e+01,4.180976390838623047e+00
3.736571080201297690e+01,3.714005231857299805e+00
3.752011456565765712e+01,4.788839340209960938e+00
3.767451832930233735e+01,4.557963848114013672e+00
3.782892209294702468e+01,3.941556692123413086e+00
3.798332585659170491e+01,4.183640003204345703e+00
3.813772962023638513e+01,3.679367542266845703e+00
3.829213338388106536e+01,3.899969100952148438e+00
3.844653714752575269e+01,3.341577529907226562e+00
3.860094091117043291e+01,3.625090599060058594e+00
3.875534467481511314e+01,4.175948143005371094e+00
3.890974843845979336e+01,5.138998985290527344e+00
3.906415220210447359e+01,5.386458873748779297e+00
3.921855596574916092e+01,4.799548625946044922e+00
3.937295972939384114e+01,3.373934507369995117e+00
3.952736349303852137e+01,2.004375934600830078e+00
