频率(Hz),功率谱密度
0.000000000000000000e+00,3.184524726867675781e+01
1.457916839576739176e-01,1.391389465332031250e+02
2.915833679153478353e-01,6.639090728759765625e+01
4.373750518730217252e-01,4.865893936157226562e+01
5.831667358306956706e-01,4.366065216064453125e+01
7.289584197883696159e-01,4.223234939575195312e+01
8.747501037460434503e-01,4.125714492797851562e+01
1.020541787703717507e+00,3.688074493408203125e+01
1.166333471661391341e+00,3.568836212158203125e+01
1.312125155619065175e+00,4.004544448852539062e+01
1.457916839576739232e+00,4.243222808837890625e+01
1.603708523534413066e+00,3.946568679809570312e+01
1.749500207492086901e+00,3.927418518066406250e+01
1.895291891449760957e+00,4.143533706665039062e+01
2.041083575407435013e+00,4.304861831665039062e+01
2.186875259365108626e+00,4.386543273925781250e+01
2.332666943322782682e+00,4.259701538085937500e+01
2.478458627280456739e+00,4.095565795898437500e+01
2.624250311238130351e+00,4.079967498779296875e+01
2.770041995195804407e+00,4.320692443847656250e+01
2.915833679153478464e+00,4.278067779541015625e+01
3.061625363111152076e+00,3.913528442382812500e+01
3.207417047068826133e+00,3.795704269409179688e+01
3.353208731026500189e+00,3.870554733276367188e+01
3.499000414984173801e+00,4.170037460327148438e+01
3.644792098941847858e+00,4.093105697631835938e+01
3.790583782899521914e+00,3.980799484252929688e+01
3.936375466857195971e+00,4.034533691406250000e+01
4.082167150814870027e+00,3.939029693603515625e+01
4.227958834772543639e+00,4.275539779663085938e+01
4.373750518730217252e+00,4.257174301147460938e+01
4.519542202687891752e+00,4.118628311157226562e+01
4.665333886645565364e+00,4.203764724731445312e+01
4.811125570603238977e+00,4.037036895751953125e+01
4.956917254560913477e+00,3.852782821655273438e+01
5.102708938518587090e+00,3.689316177368164062e+01
5.248500622476260702e+00,3.744661331176757812e+01
5.394292306433935202e+00,4.344746017456054688e+01
5.540083990391608815e+00,4.432611465454101562e+01
5.685875674349282427e+00,4.185761642456054688e+01
5.831667358306956928e+00,3.989466857910156250e+01
5.977459042264630540e+00,4.501264190673828125e+01
6.123250726222304152e+00,4.504004287719726562e+01
6.269042410179978653e+00,4.439142990112304688e+01
6.414834094137652265e+00,4.845930099487304688e+01
6.560625778095325877e+00,4.904997634887695312e+01
6.706417462053000378e+00,5.067534255981445312e+01
6.852209146010673990e+00,4.524674606323242188e+01
6.998000829968347603e+00,4.660296249389648438e+01
7.143792513926022103e+00,4.845233154296875000e+01
7.289584197883695715e+00,5.020422363281250000e+01
7.435375881841370216e+00,5.296657180786132812e+01
7.581167565799043828e+00,5.444133758544921875e+01
7.726959249756717441e+00,5.691559600830078125e+01
7.872750933714391941e+00,5.365824508666992188e+01
8.018542617672064665e+00,5.315790176391601562e+01
8.164334301629740054e+00,5.392231369018554688e+01
8.310125985587413666e+00,4.984906005859375000e+01
8.455917669545087278e+00,5.326329421997070312e+01
8.601709353502760891e+00,5.698011779785156250e+01
8.747501037460434503e+00,7.374011230468750000e+01
8.893292721418108115e+00,8.897435760498046875e+01
9.039084405375783504e+00,1.543000183105468750e+02
9.184876089333457116e+00,2.593793640136718750e+02
9.330667773291130729e+00,2.209471740722656250e+02
9.476459457248804341e+00,1.659170989990234375e+02
9.622251141206477953e+00,2.270299224853515625e+02
9.768042825164153342e+00,4.132380371093750000e+02
9.913834509121826954e+00,5.682319946289062500e+02
1.005962619307950057e+01,6.651690063476562500e+02
1.020541787703717418e+01,9.818839721679687500e+02
1.035120956099484779e+01,1.368626953125000000e+03
1.049700124495252140e+01,9.086403808593750000e+02
1.064279292891019679e+01,3.280541381835937500e+02
1.078858461286787040e+01,2.807599182128906250e+02
1.093437629682554402e+01,3.105860900878906250e+02
1.108016798078321763e+01,1.742400054931640625e+02
1.122595966474089124e+01,9.068962097167968750e+01
1.137175134869856485e+01,8.298835754394531250e+01
1.151754303265624024e+01,7.544779205322265625e+01
1.166333471661391386e+01,6.421114349365234375e+01
1.180912640057158747e+01,5.745720672607421875e+01
1.195491808452926108e+01,6.258652496337890625e+01
1.210070976848693469e+01,6.188509368896484375e+01
1.224650145244460830e+01,5.799815368652343750e+01
1.239229313640228369e+01,5.487487030029296875e+01
1.253808482035995731e+01,5.254618072509765625e+01
1.268387650431763092e+01,6.009520721435546875e+01
1.282966818827530453e+01,5.944482040405273438e+01
1.297545987223297814e+01,6.633280181884765625e+01
1.312125155619065175e+01,7.647373962402343750e+01
1.326704324014832714e+01,8.804443359375000000e+01
1.341283492410600076e+01,8.739559936523437500e+01
1.355862660806367437e+01,1.043786773681640625e+02
1.370441829202134798e+01,9.313835906982421875e+01
1.385020997597902159e+01,8.073101806640625000e+01
1.399600165993669521e+01,6.910696411132812500e+01
1.414179334389437059e+01,7.269385528564453125e+01
1.428758502785204421e+01,1.080821762084960938e+02
1.443337671180971782e+01,1.491583557128906250e+02
1.457916839576739143e+01,2.241015014648437500e+02
1.472496007972506504e+01,2.632736206054687500e+02
1.487075176368274043e+01,3.024423828125000000e+02
1.501654344764041404e+01,3.433367614746093750e+02
1.516233513159808766e+01,2.945386047363281250e+02
1.530812681555576127e+01,1.462416076660156250e+02
1.545391849951343488e+01,8.005844879150390625e+01
1.559971018347110849e+01,6.489382171630859375e+01
1.574550186742878388e+01,5.445429229736328125e+01
1.589129355138645749e+01,5.414743041992187500e+01
1.603708523534412933e+01,5.136863327026367188e+01
1.618287691930180472e+01,4.938489151000976562e+01
1.632866860325948011e+01,5.076484298706054688e+01
1.647446028721715194e+01,4.720520782470703125e+01
1.662025197117482733e+01,4.773893356323242188e+01
1.676604365513249917e+01,5.070415496826171875e+01
