频率(Hz),功率谱密度
0.000000000000000000e+00,8.468648910522460938e+00
3.906250000000000000e-01,4.347327804565429688e+01
7.812500000000000000e-01,5.136908340454101562e+01
1.171875000000000000e+00,5.199967956542968750e+01
1.562500000000000000e+00,5.323564529418945312e+01
1.953125000000000000e+00,5.514989852905273438e+01
2.343750000000000000e+00,5.572260665893554688e+01
2.734375000000000000e+00,5.746635055541992188e+01
3.125000000000000000e+00,5.874885177612304688e+01
3.515625000000000000e+00,5.463598632812500000e+01
3.906250000000000000e+00,6.046994781494140625e+01
4.296875000000000000e+00,6.361034393310546875e+01
4.687500000000000000e+00,6.156091690063476562e+01
5.078125000000000000e+00,6.266894912719726562e+01
5.468750000000000000e+00,6.395842742919921875e+01
5.859375000000000000e+00,6.260099029541015625e+01
6.250000000000000000e+00,6.155382919311523438e+01
6.640625000000000000e+00,6.474287414550781250e+01
7.031250000000000000e+00,6.964652252197265625e+01
7.421875000000000000e+00,6.901992797851562500e+01
7.812500000000000000e+00,6.924733734130859375e+01
8.203125000000000000e+00,6.895526123046875000e+01
8.593750000000000000e+00,8.460689544677734375e+01
8.984375000000000000e+00,1.184115753173828125e+02
9.375000000000000000e+00,1.665607147216796875e+02
9.765625000000000000e+00,1.380008392333984375e+02
1.015625000000000000e+01,1.073289184570312500e+02
1.054687500000000000e+01,1.256410064697265625e+02
1.093750000000000000e+01,1.436375885009765625e+02
1.132812500000000000e+01,1.838713378906250000e+02
1.171875000000000000e+01,2.091564178466796875e+02
1.210937500000000000e+01,2.113103637695312500e+02
1.250000000000000000e+01,1.468212127685546875e+02
1.289062500000000000e+01,1.020163879394531250e+02
1.328125000000000000e+01,8.875739288330078125e+01
1.367187500000000000e+01,8.520023345947265625e+01
1.406250000000000000e+01,8.252114105224609375e+01
1.445312500000000000e+01,8.378160095214843750e+01
1.484375000000000000e+01,7.976852416992187500e+01
1.523437500000000000e+01,8.015791320800781250e+01
1.562500000000000000e+01,8.269322967529296875e+01
1.601562500000000000e+01,8.542606353759765625e+01
1.640625000000000000e+01,7.871836090087890625e+01
1.679687500000000000e+01,7.932409667968750000e+01
1.718750000000000000e+01,8.225888824462890625e+01
1.757812500000000000e+01,8.588489532470703125e+01
1.796875000000000000e+01,9.320063018798828125e+01
1.835937500000000000e+01,9.899620056152343750e+01
1.875000000000000000e+01,1.004531250000000000e+02
1.914062500000000000e+01,9.693433380126953125e+01
1.953125000000000000e+01,9.706166839599609375e+01
1.992187500000000000e+01,9.990915679931640625e+01
2.031250000000000000e+01,9.607989501953125000e+01
2.070312500000000000e+01,9.673428344726562500e+01
2.109375000000000000e+01,1.054268188476562500e+02
2.148437500000000000e+01,1.130645065307617188e+02
2.187500000000000000e+01,1.062388000488281250e+02
2.226562500000000000e+01,1.058973617553710938e+02
2.265625000000000000e+01,1.000520629882812500e+02
2.304687500000000000e+01,1.002519760131835938e+02
2.343750000000000000e+01,1.080502929687500000e+02
2.382812500000000000e+01,1.030269241333007812e+02
2.421875000000000000e+01,9.832455444335937500e+01
2.460937500000000000e+01,9.051853179931640625e+01
2.500000000000000000e+01,9.371225738525390625e+01
2.539062500000000000e+01,9.489998626708984375e+01
2.578125000000000000e+01,9.714537811279296875e+01
2.617187500000000000e+01,9.344608306884765625e+01
2.656250000000000000e+01,9.409686279296875000e+01
2.695312500000000000e+01,8.916272735595703125e+01
2.734375000000000000e+01,8.908135986328125000e+01
2.773437500000000000e+01,9.191250610351562500e+01
2.812500000000000000e+01,9.898436737060546875e+01
2.851562500000000000e+01,9.939076995849609375e+01
2.890625000000000000e+01,1.010287933349609375e+02
2.929687500000000000e+01,1.024020462036132812e+02
2.968750000000000000e+01,9.705554962158203125e+01
3.007812500000000000e+01,9.289006042480468750e+01
3.046875000000000000e+01,9.872660064697265625e+01
3.085937500000000000e+01,1.002440109252929688e+02
3.125000000000000000e+01,9.688082885742187500e+01
3.164062500000000000e+01,9.448177337646484375e+01
3.203125000000000000e+01,9.303948211669921875e+01
3.242187500000000000e+01,1.004480743408203125e+02
3.281250000000000000e+01,9.846491241455078125e+01
3.320312500000000000e+01,9.623547363281250000e+01
3.359375000000000000e+01,9.302295684814453125e+01
3.398437500000000000e+01,9.770259857177734375e+01
3.437500000000000000e+01,9.703781127929687500e+01
3.476562500000000000e+01,9.460081481933593750e+01
3.515625000000000000e+01,9.745036315917968750e+01
3.554687500000000000e+01,9.529273223876953125e+01
3.593750000000000000e+01,9.553362274169921875e+01
3.632812500000000000e+01,1.001632690429687500e+02
3.671875000000000000e+01,1.042579345703125000e+02
3.710937500000000000e+01,1.015902862548828125e+02
3.750000000000000000e+01,9.119981384277343750e+01
3.789062500000000000e+01,9.525695037841796875e+01
3.828125000000000000e+01,1.048123245239257812e+02
3.867187500000000000e+01,9.899411010742187500e+01
3.906250000000000000e+01,9.652590179443359375e+01
3.945312500000000000e+01,9.602109527587890625e+01
3.984375000000000000e+01,9.393709564208984375e+01
4.023437500000000000e+01,9.202669525146484375e+01
4.062500000000000000e+01,9.766246795654296875e+01
4.101562500000000000e+01,1.014046478271484375e+02
4.140625000000000000e+01,9.880469512939453125e+01
4.179687500000000000e+01,9.412757873535156250e+01
4.218750000000000000e+01,9.790726470947265625e+01
4.257812500000000000e+01,1.022244338989257812e+02
4.296875000000000000e+01,9.514326477050781250e+01
4.335937500000000000e+01,9.184287261962890625e+01
4.375000000000000000e+01,9.963616943359375000e+01
4.414062500000000000e+01,1.009388885498046875e+02
4.453125000000000000e+01,1.016445159912109375e+02
4.492187500000000000e+01,9.981520843505859375e+01
4.531250000000000000e+01,9.941878509521484375e+01
4.570312500000000000e+01,9.932836151123046875e+01
4.609375000000000000e+01,9.756490325927734375e+01
4.648437500000000000e+01,9.833896636962890625e+01
4.687500000000000000e+01,1.003154678344726562e+02
4.726562500000000000e+01,9.848732757568359375e+01
4.765625000000000000e+01,1.027431793212890625e+02
4.804687500000000000e+01,9.557599639892578125e+01
4.843750000000000000e+01,9.308778381347656250e+01
4.882812500000000000e+01,9.265137481689453125e+01
4.921875000000000000e+01,9.713739776611328125e+01
4.960937500000000000e+01,9.504210662841796875e+01
5.000000000000000000e+01,4.712443161010742188e+01
