频率(Hz),功率谱密度
0.000000000000000000e+00,1.649298667907714844e+01
3.906250000000000000e-01,9.740744018554687500e+01
7.812500000000000000e-01,7.938078308105468750e+01
1.171875000000000000e+00,6.947872161865234375e+01
1.562500000000000000e+00,6.849004364013671875e+01
1.953125000000000000e+00,6.797552490234375000e+01
2.343750000000000000e+00,6.579354095458984375e+01
2.734375000000000000e+00,6.357435226440429688e+01
3.125000000000000000e+00,6.381475830078125000e+01
3.515625000000000000e+00,6.504634857177734375e+01
3.906250000000000000e+00,6.701268005371093750e+01
4.296875000000000000e+00,7.065457153320312500e+01
4.687500000000000000e+00,7.146688842773437500e+01
5.078125000000000000e+00,7.140732574462890625e+01
5.468750000000000000e+00,6.835681152343750000e+01
5.859375000000000000e+00,6.492681884765625000e+01
6.250000000000000000e+00,6.471563720703125000e+01
6.640625000000000000e+00,6.339379119873046875e+01
7.031250000000000000e+00,6.625045776367187500e+01
7.421875000000000000e+00,6.706869506835937500e+01
7.812500000000000000e+00,6.783011627197265625e+01
8.203125000000000000e+00,6.776654052734375000e+01
8.593750000000000000e+00,7.029282379150390625e+01
8.984375000000000000e+00,6.990299224853515625e+01
9.375000000000000000e+00,6.647303009033203125e+01
9.765625000000000000e+00,6.832582855224609375e+01
1.015625000000000000e+01,6.619761657714843750e+01
1.054687500000000000e+01,6.281449890136718750e+01
1.093750000000000000e+01,6.111851882934570312e+01
1.132812500000000000e+01,6.003989028930664062e+01
1.171875000000000000e+01,6.685813903808593750e+01
1.210937500000000000e+01,6.646047973632812500e+01
1.250000000000000000e+01,6.354626083374023438e+01
1.289062500000000000e+01,6.597297668457031250e+01
1.328125000000000000e+01,6.956756591796875000e+01
1.367187500000000000e+01,6.704062652587890625e+01
1.406250000000000000e+01,7.023292541503906250e+01
1.445312500000000000e+01,7.032953643798828125e+01
1.484375000000000000e+01,6.422808074951171875e+01
1.523437500000000000e+01,6.591523742675781250e+01
1.562500000000000000e+01,6.567097473144531250e+01
1.601562500000000000e+01,6.723049163818359375e+01
1.640625000000000000e+01,6.880464935302734375e+01
1.679687500000000000e+01,6.812156677246093750e+01
1.718750000000000000e+01,7.044258117675781250e+01
1.757812500000000000e+01,6.618161010742187500e+01
1.796875000000000000e+01,7.024901580810546875e+01
1.835937500000000000e+01,7.279422760009765625e+01
1.875000000000000000e+01,7.527893066406250000e+01
1.914062500000000000e+01,7.677624511718750000e+01
1.953125000000000000e+01,7.559757995605468750e+01
1.992187500000000000e+01,7.320607757568359375e+01
2.031250000000000000e+01,6.954354095458984375e+01
2.070312500000000000e+01,7.232388305664062500e+01
2.109375000000000000e+01,8.093041992187500000e+01
2.148437500000000000e+01,8.123642730712890625e+01
2.187500000000000000e+01,8.118025207519531250e+01
2.226562500000000000e+01,7.933208465576171875e+01
2.265625000000000000e+01,7.701281738281250000e+01
2.304687500000000000e+01,8.055210876464843750e+01
2.343750000000000000e+01,7.942912292480468750e+01
2.382812500000000000e+01,7.841395568847656250e+01
2.421875000000000000e+01,7.588832855224609375e+01
2.460937500000000000e+01,7.589812469482421875e+01
2.500000000000000000e+01,7.413143920898437500e+01
2.539062500000000000e+01,7.755584716796875000e+01
2.578125000000000000e+01,7.900169372558593750e+01
2.617187500000000000e+01,8.063488769531250000e+01
2.656250000000000000e+01,7.668376159667968750e+01
2.695312500000000000e+01,7.352383422851562500e+01
2.734375000000000000e+01,7.670370483398437500e+01
2.773437500000000000e+01,7.462383270263671875e+01
2.812500000000000000e+01,7.539682006835937500e+01
2.851562500000000000e+01,7.712396240234375000e+01
2.890625000000000000e+01,7.383270263671875000e+01
2.929687500000000000e+01,7.477294921875000000e+01
2.968750000000000000e+01,7.858947753906250000e+01
3.007812500000000000e+01,7.486074066162109375e+01
3.046875000000000000e+01,7.064913177490234375e+01
3.085937500000000000e+01,7.467797851562500000e+01
3.125000000000000000e+01,7.347451019287109375e+01
3.164062500000000000e+01,6.747425842285156250e+01
3.203125000000000000e+01,7.499095153808593750e+01
3.242187500000000000e+01,7.470675659179687500e+01
3.281250000000000000e+01,7.409640502929687500e+01
3.320312500000000000e+01,7.863553619384765625e+01
3.359375000000000000e+01,7.481547546386718750e+01
3.398437500000000000e+01,7.457630920410156250e+01
3.437500000000000000e+01,7.881343078613281250e+01
3.476562500000000000e+01,7.729203796386718750e+01
3.515625000000000000e+01,7.814817810058593750e+01
3.554687500000000000e+01,7.229024505615234375e+01
3.593750000000000000e+01,7.438236999511718750e+01
3.632812500000000000e+01,7.591712951660156250e+01
3.671875000000000000e+01,7.911293792724609375e+01
3.710937500000000000e+01,8.234484863281250000e+01
3.750000000000000000e+01,8.023032379150390625e+01
3.789062500000000000e+01,8.203801727294921875e+01
3.828125000000000000e+01,7.808595275878906250e+01
3.867187500000000000e+01,8.256233215332031250e+01
3.906250000000000000e+01,8.189430999755859375e+01
3.945312500000000000e+01,8.585636138916015625e+01
3.984375000000000000e+01,8.347113037109375000e+01
4.023437500000000000e+01,8.564679718017578125e+01
4.062500000000000000e+01,8.616703033447265625e+01
4.101562500000000000e+01,8.559274291992187500e+01
4.140625000000000000e+01,8.225733184814453125e+01
4.179687500000000000e+01,8.643125152587890625e+01
4.218750000000000000e+01,8.473837280273437500e+01
4.257812500000000000e+01,7.919446563720703125e+01
4.296875000000000000e+01,8.329442596435546875e+01
4.335937500000000000e+01,8.330526733398437500e+01
4.375000000000000000e+01,8.201376342773437500e+01
4.414062500000000000e+01,8.665695190429687500e+01
4.453125000000000000e+01,8.619321441650390625e+01
4.492187500000000000e+01,8.423545837402343750e+01
4.531250000000000000e+01,8.293813323974609375e+01
4.570312500000000000e+01,8.283986663818359375e+01
4.609375000000000000e+01,8.416126251220703125e+01
4.648437500000000000e+01,8.483239746093750000e+01
4.687500000000000000e+01,7.977029418945312500e+01
4.726562500000000000e+01,8.069281768798828125e+01
4.765625000000000000e+01,7.955247497558593750e+01
4.804687500000000000e+01,8.620062255859375000e+01
4.843750000000000000e+01,8.055627441406250000e+01
4.882812500000000000e+01,7.173165130615234375e+01
4.921875000000000000e+01,8.239041137695312500e+01
4.960937500000000000e+01,8.449458312988281250e+01
5.000000000000000000e+01,4.097916030883789062e+01
